Sr. No.,Company name,ISIN,BSE Symbol,BSE avg,NSE Symbol,NSE avg,MSE Symbol,MSE,Avg,"Categorization",,
2190,"VARDHMAN POLYTEX LTD.,",INE835A01011,VARDMNPOLY, 52.46 ,VARDMNPOLY, 52.34 ,,, 52.40 ,Small Cap,,
2191,FRANKLIN LEASING AND FINANCE LIMITED,INE399S01010,FRANKLIN, 52.40 ,,,,, 52.40 ,Small Cap,,
2192,VIJI FINANCE LIMITED,INE159N01027,VFL, 52.28 ,VIJIFIN, 51.80 ,,, 52.04 ,Small Cap,,
2193,TULIVE DEVELOPERS LIMITED,INE637D01015,TULIVE, 51.87 ,,,,, 51.87 ,Small Cap,,
2194,KINGS INFRA VENTURES LIMITED,INE050N01010,KINGSINFR, 51.80 ,,,,, 51.80 ,Small Cap,,
2195,VIVO BIO TECH LTD.,INE380K01017,VIVOBIOT, 51.79 ,,,,, 51.79 ,Small Cap,,
2196,SHRI KRISHNA DEVCON LIMITED,INE997I01012,SHRIKRISH, 51.75 ,,,,, 51.75 ,Small Cap,,
2197,ASYA INFOSOFT LIMITED,INE520G01016,ASYAINFO, 51.64 ,,,,, 51.64 ,Small Cap,,
2198,NATURITE AGRO PRODUCTS LIMITED,INE223R01014,NAPL, 51.64 ,,,,, 51.64 ,Small Cap,,
2199,VEGETABLE PRODUCTS LIMITED.,INE761D01021,VEGETABLE, 51.31 ,,,,, 51.31 ,Small Cap,,
2200,"PUNCTUAL TRADING LTD.,",NA,PUNCTRD, 51.25 ,,,,, 51.25 ,Small Cap,,
2201,"MADHAV MARBLES & GRANITES LTD.,",INE925C01016,MADHAV, 51.23 ,MADHAV, 51.21 ,,, 51.22 ,Small Cap,,
2202,DIVINUS FABRICS LIMITED,INE478P01018,DIVINUS, 51.13 ,,,,, 51.13 ,Small Cap,,
2203,MUKAND ENGINEERS LTD.,INE022B01014,MUKANDENGG, 51.09 ,MUKANDENGG, 51.10 ,,, 51.09 ,Small Cap,,
2204,MERCURY LABORATORIES LIMITED,INE947G01011,MERCURYLAB, 50.97 ,,,,, 50.97 ,Small Cap,,
2205,BENGAL TEA & FABRICS LTD.,INE665D01016,BENGALT, 50.82 ,,,,, 50.82 ,Small Cap,,
2206,PIONEER INVESTCORP LTD,INE746D01014,PIONRINV, 50.75 ,,,,, 50.75 ,Small Cap,,
2207,MANVIJAY DEVELOPMENT COMPANY LIMITED,INE945P01016,MANVIJAY, 50.71 ,,,,, 50.71 ,Small Cap,,
2208,SHREE SHALEEN TEXTILES LIMITED,INE703L01026,SHRSHATEX, 50.40 ,,,,, 50.40 ,Small Cap,,
2209,"CHOWGULE STEAMSHIPS LTD.,",INE490A01015,CHOWGULSTM, 50.34 ,,,,, 50.34 ,Small Cap,,
2210,NAGPUR POWER & INDUSTRIES LTD,INE099E01016,NAGPI, 50.34 ,,,,, 50.34 ,Small Cap,,
2211,SHREEJI TRANSLOGISTICS LIMITED ,INE402Y01010,STL, 50.33 ,,,,, 50.33 ,Small Cap,,
2212,KANCO TEA & INDUSTRIES LTD,INF398L01017,OKANCOTEA, 50.19 ,,,,, 50.19 ,Small Cap,,
2213,KSS LIMITED,INE216D01026,KSERA, 49.12 ,KSERASERA, 51.23 ,,, 50.18 ,Small Cap,,
2214,SANGHVI FORGING AND ENGINEERING LIMITED,INE263L01013,SANGHVIFOR, 50.33 ,SANGHVIFOR, 49.99 ,,, 50.16 ,Small Cap,,
2215,N. E. ELECTRONICS LIMITED,INE955E01019,,,,,NEELEC, 50.01 , 50.01 ,Small Cap,,
2216,LGB FORGE LIMITED,INE201J01017,LGBFORGE, 47.00 ,LGBFORGE, 52.89 ,,, 49.94 ,Small Cap,,
2217,KERNEX MICROSYSTEMS (INDIA) LTD.,INE202H01019,KERNEX, 49.96 ,KERNEX, 49.81 ,,, 49.88 ,Small Cap,,
2218,POLYLINK POLYMERS (INDIA) LTD.,INE323D01020,POLYLINK, 49.84 ,,,,, 49.84 ,Small Cap,,
2219,VIJAY SHANTHI BUILDERS LTD,INE806F01011,VIJSHAN, 49.80 ,VIJSHAN, 49.74 ,,, 49.77 ,Small Cap,,
2220,SHRIRAM ASSET MANAGEMENT CO.LTD.,INE777G01012,SRAMSET, 49.75 ,,,,, 49.75 ,Small Cap,,
2221,ANISHA IMPEX LIMITED,INE084Q01012,ANISHAIMPEX, 49.75 ,,,,, 49.75 ,Small Cap,,
2222,RISHI TECHTEX LIMITED,INE989D01010,RISHITECH, 49.70 ,,,,, 49.70 ,Small Cap,,
2223,MATRA KAUSHAL ENTERPRISE LIMITED,INE265N01030,MKEL, 49.51 ,,,,, 49.51 ,Small Cap,,
2224,XPRO INDIA LTD.,INE445C01015,XPROINDIA, 37.45 ,XPROINDIA, 61.48 ,,, 49.47 ,Small Cap,,
2225,RIDDHI CORPORATE SERVICES LIMITED,INE325X01015,RIDDHICORP, 49.27 ,,,,, 49.27 ,Small Cap,,
2226,POLYSPIN EXPORTS LIMITED,INE914G01011,POLYSPIN, 49.18 ,,,,, 49.18 ,Small Cap,,
2227,BANG OVERSEAS LTD,INE863I01016,BANG, 49.20 ,BANG, 49.09 ,,, 49.14 ,Small Cap,,
2228,FCS SOFTWARE SOLUTIONS LTD.,INE512B01022,FCSSOFT, 49.98 ,FCSSOFT, 48.12 ,,, 49.05 ,Small Cap,,
2229,ACI INFOCOM LTD.,INE167B01025,ACIIN, 49.02 ,,,,, 49.02 ,Small Cap,,
2230,VIRTUAL GLOBAL EDUCATION LTD.,INE247C01023,VIRTUALG, 48.92 ,,,,, 48.92 ,Small Cap,,
2231,SPENTA INTERNATIONAL LTD.,INE175C01018,SPENTA, 48.86 ,,,,, 48.86 ,Small Cap,,
2232,ABG SHIPYARD LTD.,INE067H01016,ABGSHIP, 48.92 ,ABGSHIP, 48.72 ,,, 48.82 ,Small Cap,,
2233,SHETRON LTD.,INE278C01010,SHETR, 48.79 ,,,,, 48.79 ,Small Cap,,
2234,TITAN BIO-TECH LTD.,INE150C01011,TITANBIO, 48.78 ,,,,, 48.78 ,Small Cap,,
2235,ABHINAV CAPITAL SERVICES LIMITED,INE516F01016,ABHICAP, 48.73 ,,,,, 48.73 ,Small Cap,,
2236,"CENTURY EXTRUSIONS LTD.,",INE281A01026,CENTEXT, 48.75 ,CENTEXT, 48.57 ,,, 48.66 ,Small Cap,,
2237,PARSOLI CORPORATION LTD.,INE905D01016,PARSOLI, 48.60 ,,,,, 48.60 ,Small Cap,,
2238,PRIME URBAN DEVELOPMENT INDIA LTD,INE419E01024,PRIMEURB, 48.59 ,,,,, 48.59 ,Small Cap,,
2239,RELSTRUCT BUILDCON LIMITED,INE792V01010,RELSTRUCT, 48.58 ,,,,, 48.58 ,Small Cap,,
2240,BAFNA PHARMACEUTICALS LIMITED,INE878I01014,BAFNAPHARM, 48.24 ,BAFNAPHARM, 48.71 ,,, 48.48 ,Small Cap,,
2241,AMBA ENTERPRISES LTD.,INE829P01020,AEL, 48.45 ,,,,, 48.45 ,Small Cap,,
2242,PARENTERAL DRUG (INDIA) LTD.,INE904D01019,PARENTLD, 48.61 ,PDPL, 48.25 ,,, 48.43 ,Small Cap,,
2243,SHALIMAR PRODUCTIONS LTD.,INE435E01020,SHALIAGR, 48.23 ,,,,, 48.23 ,Small Cap,,
2244,MEHAI TECHNOLOGY  LIMITED,INE062Y01012,MEHAI, 48.11 ,,,,, 48.11 ,Small Cap,,
2245,REAL NEWS & VIEWS LIMITED,INE055E01026,REALNEWS, 48.07 ,,,,, 48.07 ,Small Cap,,
2246,OCEANIC FOODS LIMITED,INE711V01010,OCEANIC, 47.90 ,,,,, 47.90 ,Small Cap,,
2247,SHIVA MILLS LIMITED,INE644Y01017,SHIVAMILLS, 48.20 ,SHIVAMILLS, 47.44 ,,, 47.82 ,Small Cap,,
2248,"KESAR ENTERPRISES LTD.,",INE133B01019,KESARENT, 47.81 ,KESARENT, 47.83 ,,, 47.82 ,Small Cap,,
2249,SHIVOM INVESTMENT & CONSULTANCY LIMITED,INE074G01014,SICLTD, 46.96 ,,,SHIVOM, 48.41 , 47.69 ,Small Cap,,
2250,ASHARI AGENCIES LIMITED,INE361S01010,ASHARI, 47.62 ,,,,, 47.62 ,Small Cap,,
2251,FRONTLINE SECURITIES LTD.,INE773B01012,FRONTSEC, 47.45 ,,,,, 47.45 ,Small Cap,,
2252,ERA INFRA ENGINEERING LTD,INE039E01020,ERAINFRA, 47.42 ,,,,, 47.42 ,Small Cap,,
2253,HIM TEKNOFORGE LIMITED,INE705G01021,HIMTEK, 47.38 ,,,,, 47.38 ,Small Cap,,
2254,CHOKHANI SECURITIES LTD.,INE583D01011,CHOKSEC, 47.32 ,,,,, 47.32 ,Small Cap,,
2255,"BAJAJ STEEL INDUSTRIES LTD.,",INE704G01016,BAJAJST, 47.31 ,,,,, 47.31 ,Small Cap,,
2256,PSL LIMITED,INE474B01017,PSL, 47.27 ,PSL, 47.18 ,,, 47.23 ,Small Cap,,
2257,OCL IRON AND STEEL LIMITED,INE196J01019,OISL, 47.28 ,OISL, 47.16 ,,, 47.22 ,Small Cap,,
2258,BS LIMITED,INE043K01029,BSLIMITED, 47.21 ,,,,, 47.21 ,Small Cap,,
2259,"KAYCEE INDUSTRIES LTD.,",INE813G01015,KAYCEEI, 47.20 ,,,,, 47.20 ,Small Cap,,
2260,RAJKUMAR FORGE LTD,INE013J01016,RJKMRFR, 47.20 ,,,,, 47.20 ,Small Cap,,
2261,UNISYS SOFTWARES AND HOLDINGS INDUS,INE200B01016,UNISH, 47.18 ,,,,, 47.18 ,Small Cap,,
2262,PCS TECHNOLOGY LTD.,INE834B01012,PCSIND, 47.04 ,,,,, 47.04 ,Small Cap,,
2263,GUJARAT HOTELS LTD.,INE621C01011,GUJHOTE, 47.03 ,,,,, 47.03 ,Small Cap,,
2264,SIMRAN FARMS LTD.,INE354D01017,SIMRAN, 46.89 ,,,,, 46.89 ,Small Cap,,
2265,NTC INDUSTRIES LIMITED,INE920C01017,RDBIND, 46.88 ,,,,, 46.88 ,Small Cap,,
2266,"HIMACHAL FIBRES LTD.,",INE723D01021,HIMFIBP, 46.87 ,,,,, 46.87 ,Small Cap,,
2267,ASHOK ALCO-CHEM LTD.,INE994D01010,ASHOKALC, 46.84 ,,,,, 46.84 ,Small Cap,,
2268,LAKHANI INDIA LTD.,INE935C01015,LAKHANI, 46.82 ,,,,, 46.82 ,Small Cap,,
2269,SYSTEMATIX CORPORATE SERVICES LTD.,INE356B01016,SYSTMTXC, 46.77 ,,,,, 46.77 ,Small Cap,,
2270,"STI INDIA LTD.,",INE090C01019,STINDIA, 46.86 ,STINDIA, 46.60 ,,, 46.73 ,Small Cap,,
2271,CAMSON BIO TECHNOLOGIES LTD,INE845E01012,CAMSONBIO, 46.63 ,,,,, 46.63 ,Small Cap,,
2272,EASTERN TREADS LTD.,INE500D01015,EASTRED, 46.61 ,,,,, 46.61 ,Small Cap,,
2273,NIRAJ CEMENT STRUCTURALS LIMITED,INE368I01016,NIRAJ, 46.54 ,,,,, 46.54 ,Small Cap,,
2274,"JAYSHREE CHEMICALS LTD.,",INE693E01016,JAYCH, 46.46 ,,,,, 46.46 ,Small Cap,,
2275,NIMBUS PROJECTS LIMITED,INE875B01015,NIMBSPROJ, 46.45 ,,,,, 46.45 ,Small Cap,,
2276,TIMES GUARANTY LTD.,INE289C01025,TIMESGTY, 46.56 ,TIMESGTY, 46.20 ,,, 46.38 ,Small Cap,,
2277,VALIANT COMMUNICATIONS LTD.,INE760B01019,VALIANT, 46.27 ,,,,, 46.27 ,Small Cap,,
2278,VASWANI INDUSTRIES LIMITED,INE590L01019,VASWANI, 46.27 ,VASWANI, 46.18 ,,, 46.22 ,Small Cap,,
2279,MEGASTAR FOODS LIMITED,INE00EM01016,MEGASTAR, 46.17 ,,,,, 46.17 ,Small Cap,,
2280,"SANCO TRANS LTD.,",INE391G01012,SANCTRN, 46.07 ,,,,, 46.07 ,Small Cap,,
2281,RAUNAQ EPC INTERNATIONAL LIMITED,INE523K01012,RAUNAQEPC, 45.99 ,,,,, 45.99 ,Small Cap,,
2282,IND-SWIFT LTD.,INE788B01028,INDSWFTLTD, 46.06 ,INDSWFTLTD, 45.89 ,,, 45.98 ,Small Cap,,
2283,PARNAX LAB LIMITED,INE383L01019,PARNAXLAB, 45.88 ,,,,, 45.88 ,Small Cap,,
2284,AMRAPALI FINCAP LIMITED,INE990S01016,AMRAFIN, 45.80 ,,,,, 45.80 ,Small Cap,,
2285,ANJANI SYNTHETICS LIMITED,INE364D01032,ANJANI, 45.73 ,,,,, 45.73 ,Small Cap,,
2286,SWASTIKA INVESTMART LTD,INE691C01014,SWASTIKA, 45.69 ,,,,, 45.69 ,Small Cap,,
2287,BHANDARI HOSIERY EXPORTS LTD.,INE474E01029,BHANDHOS, 45.74 ,BHANDARI, 45.54 ,,, 45.64 ,Small Cap,,
2288,GAYATRI BIOORGANICS LTD,INE052E01015,GAYATRIBI, 45.62 ,,,,, 45.62 ,Small Cap,,
2289,NAVKAR BUILDERS LTD.,INE268H01010,NAVBLDR, 45.58 ,,,,, 45.58 ,Small Cap,,
2290,RODIUM REALTY LIMITED,INE513E01024,RODIUM, 45.48 ,,,,, 45.48 ,Small Cap,,
2291,SHARDA ISPAT LTD.,INE385M01012,SHRDAIS, 45.44 ,,,,, 45.44 ,Small Cap,,
2292,SUPREMEX SHINE STEELS LIMITED,INE175N01023,SUPREMEX, 45.38 ,,,,, 45.38 ,Small Cap,,
2293,"W.H. BRADY & CO. LTD.,",INE855A01019,WHBRADY, 45.36 ,,,,, 45.36 ,Small Cap,,
2294,ZENITH FIBRES LIMITED,INE106C01013,ZENIFIB, 45.34 ,,,,, 45.34 ,Small Cap,,
2295,STL GLOBAL LTD,INE353H01010,SGL, 45.75 ,SGL, 44.68 ,,, 45.22 ,Small Cap,,
2296,TRIDENT TEXOFAB LIMITED,INE071Y01013,TTFL, 45.09 ,,,,, 45.09 ,Small Cap,,
2297,PEARL POLYMERS LTD.,INE844A01013,PEARLPOLY, 45.13 ,PEARLPOLY, 44.81 ,,, 44.97 ,Small Cap,,
2298,HISAR METAL INDUSTRIES LTD.,INE598C01011,HISARMET, 45.17 ,HISARMETAL, 44.72 ,,, 44.95 ,Small Cap,,
2299,BLUE BLENDS (INDIA) LTD,INE113O01014,BLUBLND-B, 44.90 ,BLUEBLENDS, 44.64 ,,, 44.77 ,Small Cap,,
2300,"PRECISION ELECTRONICS LTD.,",INE143C01024,PRECISIO, 44.70 ,,,,, 44.70 ,Small Cap,,
2301,HB PORTFOLIO LTD.,INE638B01017,HBPOR, 44.59 ,,,,, 44.59 ,Small Cap,,
2302,LADDERUP FINANCE LTD.,INE519D01015,LADDERUP, 44.57 ,,,,, 44.57 ,Small Cap,,
2303,SAHARA HOUSINGFINA CORPORATION LTD.,INE135C01012,SAHARAHOUS, 44.55 ,,,,, 44.55 ,Small Cap,,
2304,INDIAN SUCROSE LTD.,INE557C01017,INDSUCR, 44.53 ,,,,, 44.53 ,Small Cap,,
2305,PUNJAB COMMUNICATIONS LIMITED,INE609A01010,PUNJCOMMU, 44.50 ,,,,, 44.50 ,Small Cap,,
2306,TREE HOUSE EDUCATION & ACCESSORIES LIMITED,INE040M01013,TREEHOUSE, 44.43 ,TREEHOUSE, 44.44 ,TREEHOUSE, 44.54 , 44.47 ,Small Cap,,
2307,VIVID GLOBAL INDUSTRIES LIMITED,INE737C01023,VIVIDIND, 44.46 ,,,,, 44.46 ,Small Cap,,
2308,GAUTAM GEMS LIMITED,INE063Z01017,GGL, 44.41 ,,,,, 44.41 ,Small Cap,,
2309,GOLDCREST CORPORATION LIMITED,INE505D01014,GOLCRSFI, 44.33 ,,,,, 44.33 ,Small Cap,,
2310,ABM INTERNATIONAL LTD.,INE251C01017,,,ABMINTLTD, 44.25 ,,, 44.25 ,Small Cap,,
2311,SPENTEX INDUSTRIES LTD.,INE376C01020,SPENTEX, 44.43 ,SPENTEX, 43.97 ,,, 44.20 ,Small Cap,,
2312,INTELLIVATE CAPITAL ADVISORS LIMITED,INE176N01021,INTELLADV, 44.14 ,,,,, 44.14 ,Small Cap,,
2313,RADHE DEVELOPERS (INDIA) LTD.,INE986B01036,RADHEDE, 44.05 ,,,,, 44.05 ,Small Cap,,
2314,FAIR DEAL FILAMENTS LTD.,INE719D01011,FAIRDSY, 44.03 ,,,,, 44.03 ,Small Cap,,
2315,RATHI BARS LIMITED,INE575I01016,RATHIBAR, 43.91 ,,,,, 43.91 ,Small Cap,,
2316,POCL ENTERPRISES LTD,INE035S01010,POEL, 43.91 ,,,,, 43.91 ,Small Cap,,
2317,ZENITH EXPORTS LTD.,INE058B01018,ZENITHEXPO, 43.02 ,ZENITHEXPO, 44.71 ,,, 43.87 ,Small Cap,,
2318,CHORDIA FOOD PRODUCTS LTD,INE975C01011,CHORDIA, 43.86 ,,,,, 43.86 ,Small Cap,,
2319,"BOMBAY CYCLE & MOTOR AGENCY LTD.,",INE691K01017,BOMBCYC, 43.82 ,,,,, 43.82 ,Small Cap,,
2320,RSD FINANCE LIMITED,INE616F01014,RSDFIN, 43.82 ,,,,, 43.82 ,Small Cap,,
2321,ELQUE POLYESTERS LTD.,INE085E01015,ELQPO, 43.65 ,,,,, 43.65 ,Small Cap,,
2322,"LAKSHMI PRECISION SCREWS LTD.,",INE651C01018,LAKPRE, 43.60 ,LAKPRE, 43.36 ,,, 43.48 ,Small Cap,,
2323,SOMA TEXTILE & INDUSTRIES LTD,INE314C01013,SOMATEX, 43.72 ,SOMATEX, 43.21 ,,, 43.47 ,Small Cap,,
2324,COMFORT INTECH LTD,INE819A01023,COMFINTE, 43.40 ,,,,, 43.40 ,Small Cap,,
2325,SHREE GANESH REMEDIES LIMITED,INE414Y01015,SGRL, 43.26 ,,,,, 43.26 ,Small Cap,,
2326,PURE GIFTCARAT LIMITED,INE594W01026,PGL, 43.22 ,,,,, 43.22 ,Small Cap,,
2327,GAYATRI SUGARS LTD.,INE622E01023,GAYATRI, 43.14 ,,,,, 43.14 ,Small Cap,,
2328,FREDUN PHARMACEUTICALS LIMITED,INE194R01017,FREDUN, 43.10 ,,,,, 43.10 ,Small Cap,,
2329,"THIRU AROORAN SUGARS INDUSTRIES,",INE409A01015,THIRUSUGAR, 43.06 ,THIRUSUGAR, 42.99 ,,, 43.02 ,Small Cap,,
2330,MOHIT INDUSTRIES LIMITED,INE954E01012,MOHITIND, 43.03 ,MOHITIND, 43.00 ,,, 43.01 ,Small Cap,,
2331,SWARAJ AUTOMOTIVES LIMITED,INE724G01014,SWARAJAUTO, 42.88 ,,,,, 42.88 ,Small Cap,,
2332,VALECHA ENGINEERING LTD.,INE624C01015,VALECHAENG, 42.81 ,,,,, 42.81 ,Small Cap,,
2333,"ICDS LTD.,",INE613B01010,ICDSLTD, 42.59 ,,,,, 42.59 ,Small Cap,,
2334,BARTRONICS INDIA LTD.,INE855F01034,BARTRONICS, 42.54 ,BARTRONICS, 42.41 ,,, 42.47 ,Small Cap,,
2335,BDH INDUSTRIES LTD.,INE278D01018,BDH, 42.44 ,,,,, 42.44 ,Small Cap,,
2336,JOINDRE CAPITAL SERVICES LTD.,INE024B01010,JOINDRE, 42.29 ,,,,, 42.29 ,Small Cap,,
2337,"JINDAL HOTELS LTD.,",INE726D01016,JINDHOT, 42.16 ,,,,, 42.16 ,Small Cap,,
2338,TRANSCHEM LIMITED.,INE019B01010,TRANSCHEM, 42.07 ,,,,, 42.07 ,Small Cap,,
2339,KEYNOTE CORPORATE SERVICES LTD.,INE681C01015,KEYCORPSER, 41.58 ,KEYCORPSER, 42.53 ,,, 42.06 ,Small Cap,,
2340,FOCUS SUITES SOLUTIONS & SERVICES LIMITED,INE180Z01019,FSSPL, 41.92 ,,,,, 41.92 ,Small Cap,,
2341,NAGREEKA EXPORTS LTD.,INE123B01028,NAGREEKEXP, 41.84 ,NAGREEKEXP, 41.71 ,,, 41.77 ,Small Cap,,
2342,INCAP LTD,INE437C01012,INCAP, 41.70 ,,,,, 41.70 ,Small Cap,,
2343,AMRAPALI CAPITAL AND FINANCE SERVICES LIMITED,INE218P01018,ACFSL, 41.69 ,,,,, 41.69 ,Small Cap,,
2344,DAIKAFFIL CHEMICALS INDIA LTD.,INE789B01018,DAIKAFFI, 41.63 ,,,,, 41.63 ,Small Cap,,
2345,PANCHSHEEL ORGANIC LTD.,INE316G01019,PANCHSHEEL, 41.45 ,,,,, 41.45 ,Small Cap,,
2346,"HINDUSTAN WIRES LTD.,",INE075C01010,HINDWRS, 41.37 ,,,,, 41.37 ,Small Cap,,
2347,D.S.KULKARNI DEVELOPERS LTD,INE891A01014,DSKULKARNI, 41.35 ,,,,, 41.35 ,Small Cap,,
2348,ECOPLAST LTD.,INE423D01010,ECOPLAST, 41.30 ,,,,, 41.30 ,Small Cap,,
2349,NITIN CASTINGS LIMITED,INE861H01012,NITINCAST, 41.28 ,,,,, 41.28 ,Small Cap,,
2350,BIRLA PRECISION TECHNOLOGIES LTD,INE372E01025,BIRLAPREC, 41.28 ,,,,, 41.28 ,Small Cap,,
2351,FUTURISTIC SOLUTIONS LTD.,INE241F01011,FUTSOL, 41.26 ,,,,, 41.26 ,Small Cap,,
2352,MAGNUM VENTURES LIMITED,INE387I01016,MAGNUM, 41.27 ,MAGNUM, 41.20 ,,, 41.24 ,Small Cap,,
2353,MAKERS LABORATORIES LTD.,INE987A01010,MAKERSL, 41.21 ,,,,, 41.21 ,Small Cap,,
2354,BANARAS BEADS LTD.,INE655B01011,BANARBEADS, 41.29 ,BANARBEADS, 41.11 ,,, 41.20 ,Small Cap,,
2355,"BLUE CHIP TEX INDUSTRIES LTD.,",INE472D01017,BLUECHIPT, 41.18 ,,,,, 41.18 ,Small Cap,,
2356,"PEE CEE COSMA SOPE LTD.,",INE417E01010,PCCOSMA, 41.07 ,,,,, 41.07 ,Small Cap,,
2357,KOTHARI WORLD FINANCE LIMITED,INE988F01017,KOTHARIFIN, 41.01 ,,,,, 41.01 ,Small Cap,,
2358,PARABOLIC DRUGS LTD,INE618H01016,PARABDRUGS, 41.13 ,PARABDRUGS, 40.89 ,,, 41.01 ,Small Cap,,
2359,TIRUPATI FOAM LIMITED,INE115G01015,TIRUFOAM, 40.99 ,,,,, 40.99 ,Small Cap,,
2360,"LAKSHMI AUTOMATIC LOOM WORKS LTD.,",INE718M01014,LXMIATO, 40.96 ,,,,, 40.96 ,Small Cap,,
2361,KGN INDUSTRIES LTD.,INE196C01022,KGNIND, 40.93 ,,,,, 40.93 ,Small Cap,,
2362,AQUA LOGISTICS LIMITED,INE544K01026,AQUA, 40.80 ,,,,, 40.80 ,Small Cap,,
2363,STAR DELTA TRANSFORMERS LIMITED,INE541K01014,STARDELTA, 40.76 ,,,,, 40.76 ,Small Cap,,
2364,IND BANK HOUSING LTD,INE969D01012,INDBNK, 40.74 ,,,,, 40.74 ,Small Cap,,
2365,HILTON METAL FORGING LIMITED,INE788H01017,HILTON, 40.70 ,HILTON, 40.74 ,,, 40.72 ,Small Cap,,
2366,SWAGRUHA INFRASTRUCTURE LTD.,INE587J01027,SWAGRUHA, 40.70 ,,,,, 40.70 ,Small Cap,,
2367,SIDDHARTH EDUCATION SERVICES LIMITED,INE930X01012,SIDDH, 40.57 ,,,,, 40.57 ,Small Cap,,
2368,VITAN AGRO INDUSTRIES LIMITED,INE186Q01023,VITANAGRO, 40.53 ,,,,, 40.53 ,Small Cap,,
2369,MEDICO REMEDIES LIMITED,INE630Y01016,MEDICO, 40.42 ,,,,, 40.42 ,Small Cap,,
2370,TWENTYFIRST CENTURY MANAGEMENT SERV,INE253B01015,21STCENMGM, 40.16 ,21STCENMGM, 40.38 ,,, 40.27 ,Small Cap,,
2371,SAMRAT PHARMACHEM LTD.,INE103E01016,SAMRATPH, 40.23 ,,,,, 40.23 ,Small Cap,,
2372,VKJ INFRADEVELOPERS LIMITED,INE211P01021,VKJINFRA, 40.17 ,,,,, 40.17 ,Small Cap,,
2373,ALPINE HOUSING DEVELOPMENT CORPORAT,INE840D01015,ALPINEHOU, 39.99 ,,,,, 39.99 ,Small Cap,,
2374,BIOPAC INDIA CORPORATION LTD,INE998A01017,BIOPAC, 39.99 ,,,,, 39.99 ,Small Cap,,
2375,LIKHAMI CONSULTING LIMITED,INE920T01011,LIKHAMI, 39.99 ,,,,, 39.99 ,Small Cap,,
2376,DELTA MAGNETS LIMITED,INE393A01011,DELTAMAGNT, 39.26 ,DELTAMAGNT, 40.68 ,,, 39.97 ,Small Cap,,
2377,JEEVAN SCIENTIFIC TECHNOLOGY LIMITED,INE237B01018,JSTL, 39.82 ,,,,, 39.82 ,Small Cap,,
2378,WALCHAND PEOPLEFIRST LIMITED,INE695D01021,WALCHCAP, 39.77 ,,,,, 39.77 ,Small Cap,,
2379,USHER AGRO LIMITED,INE235G01011,USHERAGRO, 39.75 ,USHERAGRO, 39.74 ,,, 39.74 ,Small Cap,,
2380,SUJALA TRADING & HOLDINGS LTD.,INE029H01016,SUJALA, 39.65 ,,,,, 39.65 ,Small Cap,,
2381,RMC SWITCHGEARS LIMITED,INE655V01019,RMC, 39.46 ,,,,, 39.46 ,Small Cap,,
2382,MAXIMAA SYSTEMS LTD.,INE161B01036,MAXIMAA, 39.23 ,,,MAXIMAA, 39.28 , 39.25 ,Small Cap,,
2383,SMRUTHI ORGANICS LIMITED,INE172E01011,SMRUTHIORG, 39.24 ,,,SMRUTHI, 39.23 , 39.24 ,Small Cap,,
2384,SOLID STONE COMPANY LTD.,INE584G01012,SOLIDSTON, 39.22 ,,,,, 39.22 ,Small Cap,,
2385,ADVANCE METERING TECHNOLOGY LIMITED,INE436N01029,AMTL, 39.14 ,,,,, 39.14 ,Small Cap,,
2386,RADFORD GLOBAL LIMITED,INE783M01026,RADGLOBAL, 39.09 ,,,,, 39.09 ,Small Cap,,
2387,ARIHANT FOUNDATIONS & HOUSING LTD.,INE413D01011,ARIHANT, 39.67 ,ARIHANT, 38.08 ,,, 38.87 ,Small Cap,,
2388,KANCO TEA & INDUSTRIES LIMITED,INE398L01017,KANCOTEA, 38.85 ,,,,, 38.85 ,Small Cap,,
2389,SWARNSARITA GEMS LIMITED,INE967A01012,SWARNASA, 38.82 ,,,,, 38.82 ,Small Cap,,
2390,"OLYMPIC OIL INDUSTRIES LTD.,",INE286E01019,OLYOI, 38.71 ,,,,, 38.71 ,Small Cap,,
2391,NEIL INDUSTRIES LTD.,INE396C01010,NEIL, 38.66 ,,,,, 38.66 ,Small Cap,,
2392,RTS POWER CORPORATION LTD.,INE005C01017,RTSPOWR, 38.55 ,,,,, 38.55 ,Small Cap,,
2393,KARMA ENERGY LIMITED,INE725L01011,KARMAENG, 38.50 ,KARMAENG, 38.44 ,,, 38.47 ,Small Cap,,
2394,SAGAR DIAMONDS LIMITED,INE146Y01013,SAGAR, 38.41 ,,,,, 38.41 ,Small Cap,,
2395,"NATH PULP & PAPER MILLS LTD.,",INE776A01025,NATHPULP, 38.37 ,,,,, 38.37 ,Small Cap,,
2396,WALL STREET FINANCE LTD.,INE549D01012,WSFIN, 38.28 ,,,,, 38.28 ,Small Cap,,
2397,ANG LIFESCIENCES INDIA LIMITED,INE236W01016,ANG, 38.09 ,,,,, 38.09 ,Small Cap,,
2398,REAL TOUCH FINANCE LIMITED,INE840I01014,RTFL, 37.90 ,,,,, 37.90 ,Small Cap,,
2399,"G.G. DANDEKAR MACHINE WORKS LTD.,",INE631D01026,GGDANDE, 37.89 ,,,,, 37.89 ,Small Cap,,
2400,KOVILPATTI LAKSHMI ROLLER FLOUR MILLS  LTD,INE014E01015,KLRFM, 37.88 ,,,,, 37.88 ,Small Cap,,
