Name,BSE Code,NSE Code,Industry,Current Price,Filter,Filter52wLow,Up from 52w low,Low price,High price,Sales,Net profit,Market Capitalization,Debt to equity,Average return on equity 3Years,ROCE3yr avg,Average dividend payout 3years,Price to Earning,Historical PE 5Years,PEG Ratio,OPM,Interest Coverage Ratio,Enterprise Value,Net worth,Reserves,Return on assets 3years,Price to book value,Price to Cash Flow,Price to Sales,EVEBITDA,Dividend Payout Ratio,Dividend yield,Current ratio,Sales growth 5Years,Profit growth 5Years,Pledged percentage,Promoter holding,Piotroski score
TVS Srichakra,509243,TVSSRICHAK,Tyres,1779.70,1,0,21.07,1470.00,2742.40,2386.40,95.46,1363.25,0.56,20.78,23.13,26.92,14.28,13.54,0.85,10.77,4.78,1759.48,743.15,735.49,13.10,1.83,16.59,0.57,6.55,29.70,2.25,1.65,7.35,16.80,0.00,45.36,4.00
Uflex,500148,UFLEX,Packaging,210.45,0,0,16.27,181.00,321.80,8030.64,310.42,1519.66,0.49,8.47,9.89,5.50,4.90,4.82,0.55,12.57,2.87,3336.60,4304.33,4232.12,5.47,0.35,2.75,0.19,3.24,4.60,0.95,2.35,6.44,8.94,9.55,44.01,7.00
UltraTech Cem.,532538,ULTRACEMCO,Cement - North India,4212.60,0,0,29.20,3260.45,4904.95,38656.65,3010.49,115699.27,0.80,9.73,11.75,12.02,38.43,39.37,12.81,20.14,3.70,137810.45,28388.31,28113.66,6.30,4.08,22.43,2.99,16.60,12.97,0.27,0.80,12.51,3.00,0.00,61.68,5.00
United Breweries,532478,UBL,Breweries & Distilleries,1324.80,0,0,22.33,1083.00,1493.75,6655.05,505.40,35027.71,0.07,15.44,21.65,12.81,69.31,82.69,3.46,16.02,27.67,35194.08,3181.89,3155.45,12.86,11.01,54.36,5.26,32.41,11.75,0.19,1.51,8.85,20.06,18.20,57.72,8.00
United Spirits,532432,MCDOWELL-N,Breweries & Distilleries,643.95,0,0,46.95,438.20,680.00,9197.40,774.70,46791.90,0.82,21.88,17.69,0.00,58.39,156.49,2.63,15.13,6.72,49315.60,3131.50,2986.20,8.52,14.94,54.56,5.09,31.47,0.00,0.00,1.74,1.32,22.23,3.22,56.76,7.00
UPL,512070,UPL,Pesticides / Agrochemicals - Indian,594.95,0,0,53.30,388.10,709.25,25609.00,1115.00,45455.55,1.99,22.56,16.24,22.95,33.42,20.19,2.74,16.62,2.56,71744.55,14645.00,14543.00,11.01,3.10,19.29,1.77,16.26,28.20,0.90,1.76,15.18,12.18,1.55,27.88,4.00
V I P Inds.,507880,VIPIND,Moulded Luggage,454.25,1,0,32.82,342.00,567.00,1831.03,117.00,6419.34,0.15,26.33,38.29,34.79,44.04,33.51,1.72,13.85,34.18,6491.26,581.38,553.12,24.71,11.04,-114.80,3.51,24.69,31.13,0.70,2.34,13.63,25.64,0.00,53.46,3.00
V-Guard Inds.,532953,VGUARD,Electric Equipment,220.75,1,0,38.75,159.10,252.00,2630.93,183.57,9435.97,0.01,21.45,28.82,21.19,51.40,44.10,2.74,9.28,116.45,9361.34,899.68,856.97,21.28,10.49,61.49,3.59,35.25,20.63,0.36,2.25,11.26,18.77,0.00,64.10,7.00
Varun Beverages,540180,VBL,Food - Processing - Indian,603.15,0,0,32.54,455.07,683.15,6120.96,418.33,17412.26,1.30,11.50,13.96,12.44,41.62,89.91,0.74,20.67,3.55,20572.10,2499.62,2316.96,4.16,6.97,17.42,2.84,15.99,15.59,0.00,0.70,19.27,55.97,0.13,73.56,6.00
Vedanta,500295,VEDL,Mining / Minerals / Metals,151.30,0,0,20.75,125.30,246.90,91216.00,6883.00,56241.15,1.06,11.23,15.33,86.18,8.46,10.91,2.47,24.24,3.14,114098.15,62297.00,61925.00,4.40,0.90,2.37,0.62,4.37,99.25,12.47,0.71,6.83,3.43,0.00,50.14,5.00
Venky's (India),523261,VENKEYS,Miscellaneous,1554.45,0,0,41.31,1100.00,2955.95,3192.24,164.93,2189.81,0.30,26.27,29.65,6.30,13.28,16.94,0.28,9.11,10.21,2303.53,881.49,867.40,15.03,2.48,13.79,0.69,7.16,6.47,0.51,2.21,11.88,47.82,0.00,56.11,5.00
Vodafone Idea,532822,IDEA,Telecommunications - Service Provider,5.40,0,0,12.50,4.80,27.51,42473.20,-19734.20,15517.11,2.11,-22.36,-3.07,0.00,,19.91,,16.56,-0.90,140466.21,79634.60,50899.20,-5.65,0.26,2.95,0.37,17.35,0.00,0.00,0.84,6.94,,0.00,71.57,4.00
Voltas,500575,VOLTAS,Diversified - Mega,674.65,0,0,43.24,471.00,705.00,7629.98,489.17,22323.14,0.08,15.05,20.18,23.85,42.52,29.28,2.43,7.68,21.99,22316.68,4109.99,4076.91,13.94,5.43,-69.45,2.93,28.34,26.05,0.59,1.50,6.23,17.51,0.00,30.30,4.00
VRL Logistics,539118,VRLLOG,Miscellaneous,275.85,0,0,24.40,221.75,319.40,2120.71,95.18,2492.13,0.22,14.90,19.89,35.28,26.18,35.32,2.23,12.85,9.10,2619.67,645.93,555.59,11.40,3.86,12.96,1.18,9.34,54.06,1.99,1.06,7.15,11.76,0.00,68.05,5.00
VST Inds.,509966,VSTIND,Cigarettes,3747.95,1,0,51.05,2481.30,3870.00,1160.52,241.28,5786.83,0.00,34.13,52.45,68.96,23.98,22.52,2.65,32.12,,5749.97,664.03,648.59,33.21,8.71,19.89,4.99,13.87,64.66,2.53,0.80,6.85,9.05,0.00,32.16,8.00
VST Till. Tract.,531266,VSTTILLERS,Automobiles - Tractors,1222.65,0,0,35.69,901.05,1972.30,608.93,43.23,1056.31,0.00,14.28,20.66,27.46,24.43,17.82,-2.38,6.90,28.62,1037.48,589.90,581.26,13.50,1.79,24.35,1.73,12.45,28.14,1.23,2.93,-0.30,-10.28,0.00,54.31,5.00
WABCO India,533023,WABCOINDIA,Auto Ancillaries,6197.80,0,0,6.89,5798.40,7100.00,2743.35,262.17,11751.03,0.00,17.01,24.25,5.94,44.82,55.75,2.54,14.43,1274.63,11201.38,1779.97,1770.49,16.84,6.60,-34.57,4.28,24.36,6.05,0.15,2.69,20.79,17.63,0.00,75.00,4.00
Westlife Develop,505533,WESTLIFE,Hotels,287.90,0,0,11.94,257.20,454.45,1440.29,27.54,4481.24,0.40,0.62,2.59,0.00,162.72,1900.06,3.43,9.31,1.75,4705.95,583.02,551.89,0.33,7.69,39.04,3.11,30.61,0.00,0.00,0.41,13.62,47.50,0.00,62.15,8.00
Whirlpool India,500238,WHIRLPOOL,Domestic Appliances,1955.40,1,0,54.77,1263.40,1976.00,5722.39,434.11,24808.16,0.00,21.65,33.55,14.10,57.15,42.85,2.11,11.87,51.20,23747.16,2142.67,2015.80,20.02,11.58,61.65,4.34,29.74,15.59,0.26,1.72,14.02,27.09,0.00,75.00,6.00
Wipro,507685,WIPRO,Computers - Software - Large,233.50,0,0,5.90,220.50,301.60,59574.30,9270.50,140940.22,0.18,16.90,18.26,6.03,15.20,16.70,5.33,19.93,17.33,135034.02,56422.90,55215.80,13.01,2.50,12.12,2.37,9.20,6.70,0.43,2.26,6.33,2.85,0.00,74.05,8.00
Wonderla Holiday,538268,WONDERLA,Recreation / Amusement Parks,271.40,0,0,17.24,231.50,322.95,295.64,64.48,1533.92,0.00,5.89,8.86,19.01,23.79,43.02,4.21,42.37,438.36,1492.11,818.53,762.02,5.80,1.87,29.98,5.19,10.93,18.35,0.66,0.58,12.92,5.65,0.00,69.35,7.00
Zee Entertainmen,505537,ZEEL,Entertainment / Electronic Media Software,233.15,1,0,17.07,199.15,506.90,8170.02,1771.30,22393.63,0.04,18.97,25.83,17.02,12.54,34.20,1.01,33.67,19.32,21545.43,8923.95,8827.90,16.18,2.51,165.64,2.74,7.04,21.44,1.50,3.45,12.40,12.44,63.98,35.79,7.00
Zee Learn,533287,ZEELEARN,Computers - Education,18.95,0,0,2.43,18.50,42.20,558.87,79.19,617.95,1.00,16.16,16.29,6.84,7.80,53.04,0.07,30.41,3.23,1022.19,431.15,398.54,6.24,1.43,29.90,1.11,4.93,4.28,0.53,1.51,33.65,118.43,82.74,57.18,5.00
Zydus Wellness,531335,ZYDUSWELL,Food - Processing - Indian,1691.65,0,0,55.91,1085.00,1860.20,1320.02,224.56,9754.75,0.46,12.38,11.31,21.23,43.44,33.05,4.40,20.78,4.43,11159.71,3386.28,3328.62,15.06,2.88,65.34,7.39,36.42,17.05,0.30,1.57,15.86,9.88,0.00,67.62,2.00
