ticker	industry	bat	cmp	low_52w	high_52w	up_52w_low	mos	txn_gap	plan_oku	cur_oku	tbd_oku
SOLARINDS	CHEMICALS	1220	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A139),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A139),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A139),"high52"))	=IFERROR(ROUND((D139-E139)*100/E139),"-")	=IFERROR(ROUND((C139-D139)*100/D139),"-")	0	-	2	-2
SUNDRMFAST	AUTOMOBILE	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A140),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A140),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A140),"high52"))	=IFERROR(ROUND((D140-E140)*100/E140),"-")	=IFERROR(ROUND((C140-D140)*100/D140),"-")	-	-	0	-
SUNTV	MEDIA & ENTERTAINMENT	603	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A141),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A141),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A141),"high52"))	=IFERROR(ROUND((D141-E141)*100/E141),"-")	=IFERROR(ROUND((C141-D141)*100/D141),"-")	-	-	0	-
SUPREMEIND	INDUSTRIAL MANUFACTURING	1173	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A142),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A142),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A142),"high52"))	=IFERROR(ROUND((D142-E142)*100/E142),"-")	=IFERROR(ROUND((C142-D142)*100/D142),"-")	21	10	2	8
SYMPHONY	CONSUMER GOODS	1452	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A143),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A143),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A143),"high52"))	=IFERROR(ROUND((D143-E143)*100/E143),"-")	=IFERROR(ROUND((C143-D143)*100/D143),"-")	0	0	6	-6
TATACHEM	CHEMICALS	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A144),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A144),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A144),"high52"))	=IFERROR(ROUND((D144-E144)*100/E144),"-")	=IFERROR(ROUND((C144-D144)*100/D144),"-")	21	10	3	7
TATAELXSI	IT	879	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A145),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A145),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A145),"high52"))	=IFERROR(ROUND((D145-E145)*100/E145),"-")	=IFERROR(ROUND((C145-D145)*100/D145),"-")	14	5	1	4
TCS	IT	2029	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A146),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A146),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A146),"high52"))	=IFERROR(ROUND((D146-E146)*100/E146),"-")	=IFERROR(ROUND((C146-D146)*100/D146),"-")	13	50	21	29
TECHM	IT	756	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A147),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A147),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A147),"high52"))	=IFERROR(ROUND((D147-E147)*100/E147),"-")	=IFERROR(ROUND((C147-D147)*100/D147),"-")	11	10	4	6
THERMAX	INDUSTRIAL MANUFACTURING	1156	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A148),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A148),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A148),"high52"))	=IFERROR(ROUND((D148-E148)*100/E148),"-")	=IFERROR(ROUND((C148-D148)*100/D148),"-")	-	-	0	-
TIINDIA	AUTOMOBILE	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A149),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A149),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A149),"high52"))	=IFERROR(ROUND((D149-E149)*100/E149),"-")	=IFERROR(ROUND((C149-D149)*100/D149),"-")	11	5	2	3
TITAN	CONSUMER GOODS	1238	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A150),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A150),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A150),"high52"))	=IFERROR(ROUND((D150-E150)*100/E150),"-")	=IFERROR(ROUND((C150-D150)*100/D150),"-")	11	20	5	15
TTKPRESTIG	CONSUMER GOODS	6670	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A151),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A151),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A151),"high52"))	=IFERROR(ROUND((D151-E151)*100/E151),"-")	=IFERROR(ROUND((C151-D151)*100/D151),"-")	29	10	6	4
TVSMOTOR	AUTOMOBILE	422	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A152),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A152),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A152),"high52"))	=IFERROR(ROUND((D152-E152)*100/E152),"-")	=IFERROR(ROUND((C152-D152)*100/D152),"-")	18	10	4	6
VGUARD	INDUSTRIAL MANUFACTURING	246	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A153),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A153),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A153),"high52"))	=IFERROR(ROUND((D153-E153)*100/E153),"-")	=IFERROR(ROUND((C153-D153)*100/D153),"-")	8	5	2	3
VINATIORGA	CHEMICALS	2066	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A154),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A154),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A154),"high52"))	=IFERROR(ROUND((D154-E154)*100/E154),"-")	=IFERROR(ROUND((C154-D154)*100/D154),"-")	-	-	0	-
VIPIND	CONSUMER GOODS	537	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A155),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A155),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A155),"high52"))	=IFERROR(ROUND((D155-E155)*100/E155),"-")	=IFERROR(ROUND((C155-D155)*100/D155),"-")	11	10	3	7
VOLTAS	CONSTRUCTION	692	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A156),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A156),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A156),"high52"))	=IFERROR(ROUND((D156-E156)*100/E156),"-")	=IFERROR(ROUND((C156-D156)*100/D156),"-")	13	10	3	7
VTL	TEXTILES	990	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A157),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A157),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A157),"high52"))	=IFERROR(ROUND((D157-E157)*100/E157),"-")	=IFERROR(ROUND((C157-D157)*100/D157),"-")	-	-	0	-
WHIRLPOOL	CONSUMER GOODS	2062	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A158),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A158),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A158),"high52"))	=IFERROR(ROUND((D158-E158)*100/E158),"-")	=IFERROR(ROUND((C158-D158)*100/D158),"-")	21	10	3	7
ZENSARTECH	-	265	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A159),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A159),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A159),"high52"))	=IFERROR(ROUND((D159-E159)*100/E159),"-")	=IFERROR(ROUND((C159-D159)*100/D159),"-")	-	-	0	-
