bhav_ticker,bhav_last,bhav_isin
VRLLOG,164.05,INE366I01010
VSSL,77.5,INE050M01012
VSTIND,3385.0,INE710A01016
VSTTILLERS,1658.0,INE764D01017
VTL,810.0,INE825A01012
WABAG,194.0,INE956G01038
WABCOINDIA,5646.0,INE342J01019
WALCHANNAG,49.0,INE711A01022
WATERBASE,100.7,INE054C01015
WEBELSOLAR,19.15,INE855C01015
WEIZMANIND,29.05,INE080A01014
WELCORP,111.55,INE191B01025
WELENT,68.15,INE625G01013
WELINV,254.3,INE389K01018
WELSPUNIND,70.35,INE192B01031
WENDT,3280.0,INE274C01019
WESTLIFE,397.0,INE274F01020
WHEELS,413.5,INE715A01015
WHIRLPOOL,2199.0,INE716A01013
WILLAMAGOR,16.0,INE210A01017
WINDMACHIN,15.15,INE052A01021
WIPRO,313.3,INE075A01022
WOCKPHARMA,302.5,INE049B01025
WONDERLA,165.9,INE066O01014
WORTH,43.95,INE196Y01018
WSTCSTPAPR,168.5,INE976A01021
XCHANGING,95.3,INE692G01013
XPROINDIA,20.8,INE445C01015
YESBANK,13.35,INE528G01035
ZEEL,214.7,INE256A01028
ZEELEARN,11.8,INE565L01011
ZENITHEXPO,39.65,INE058B01018
ZENSARTECH,192.0,INE520A01027
ZENTEC,81.25,INE251B01027
ZODIACLOTH,103.8,INE206B01013
ZODJRDMKJ,25.0,INE077B01018
ZOTA,146.8,INE358U01012
ZUARI,81.0,INE840M01016
ZUARIGLOB,47.65,INE217A01012
ZYDUSWELL,1847.0,INE768C01010
