+-------------+-----------+--------------+
| bhav_ticker | bhav_last |  bhav_isin   |
|    DICIND   |   360.1   | INE303A01010 |
|  DIGISPICE  |    7.9    | INE927C01020 |
|    DISHTV   |    10.5   | INE836F01026 |
|   DIVISLAB  |   3353.0  | INE361B01024 |
|    DIXON    |   9912.0  | INE935N01012 |
|     DLF     |   182.6   | INE271C01023 |
|  DLINKINDIA |   105.65  | INE250K01012 |
|    DMART    |   2398.0  | INE192R01011 |
|   DNAMEDIA  |    0.4    | INE016M01021 |
|    DOLAT    |    45.2   | INE966A01022 |
|    DOLLAR   |   156.85  | INE325C01035 |
|    DONEAR   |    24.6   | INE668D01028 |
|  DPABHUSHAN |   106.5   | INE266Y01019 |
|   DPSCLTD   |   11.55   | INE360C01024 |
|   DPWIRES   |    71.7   | INE864X01013 |
|     DQE     |    1.1    | INE656K01010 |
|  DREDGECORP |   240.0   | INE506A01018 |
|   DRREDDY   |   4898.0  | INE089A01023 |
|     DSSL    |    35.0   | INE417B01040 |
|     DTIL    |   263.0   | INE341R01014 |
|    DUCON    |    4.4    | INE741L01018 |
|     DVL     |    59.8   | INE477B01010 |
|   DWARKESH  |   27.65   | INE366A01041 |
|  DYNAMATECH |   691.0   | INE221B01012 |
|    DYNPRO   |   220.0   | INE256H01015 |
|   EASTSILK  |    0.95   | INE962C01027 |
|  EBBETF0423 |  1101.48  | INF754K01KN4 |
|  EBBETF0425 |  1015.42  | INF754K01LD3 |
|  EBBETF0430 |   1123.0  | INF754K01KO2 |
|  EBBETF0431 |   1016.0  | INF754K01LE1 |
|  EBIXFOREX  |   350.0   | INE726L01019 |
|    ECLERX   |   713.0   | INE738I01010 |
|  EDELWEISS  |   53.35   | INE532F01054 |
|  EICHERMOT  |   2320.0  | INE066A01021 |
|   EIDPARRY  |   283.6   | INE126A01031 |
|  EIHAHOTELS |   234.0   | INE276C01014 |
|   EIHOTEL   |    80.7   | INE230A01023 |
|  EIMCOELECO |   306.0   | INE158B01016 |
|     EKC     |    27.8   | INE184H01027 |
|    ELECON   |   26.05   | INE205B01023 |
|  ELECTCAST  |   20.75   | INE086A01029 |
|  ELECTHERM  |   91.95   | INE822G01016 |
|  ELGIEQUIP  |   122.8   | INE285A01027 |
|  ELGIRUBCO  |    16.7   | INE819L01012 |
|   EMAMILTD  |   381.0   | INE548C01032 |
|   EMAMIPAP  |    64.0   | INE830C01026 |
|  EMAMIREAL  |   40.35   | INE778K01012 |
|    EMKAY    |    61.2   | INE296H01011 |
|    EMMBI    |   72.15   | INE753K01015 |
|  ENDURANCE  |   1054.0  | INE913H01037 |
|  ENERGYDEV  |    5.3    | INE306C01019 |
|  ENGINERSIN |    70.3   | INE510A01028 |
|     ENIL    |   149.0   | INE265F01028 |
|     EPL     |   256.0   | INE255A01020 |
|     EQ30    |   364.99  | INF754K01EM9 |
|   EQUITAS   |    46.8   | INE988K01017 |
|  EQUITASBNK |    33.0   | INE063P01018 |
|     ERIS    |   505.0   | INE406M01024 |
|  EROSMEDIA  |   18.15   | INE416L01017 |
|  ESABINDIA  |  1360.95  | INE284A01012 |
|   ESCORTS   |   1369.8  | INE042A01014 |
|  ESSARSHPNG |    7.55   | INE122M01019 |
|    ESTER    |   111.7   | INE778B01029 |
|  EUROMULTI  |    1.45   | INE063J01011 |
|   EVEREADY  |   150.2   | INE128A01029 |
|  EVERESTIND |   235.2   | INE295A01018 |
|    EXCEL    |    1.15   | INE688J01015 |
|  EXCELINDUS |   841.0   | INE369A01029 |
|   EXIDEIND  |   163.6   | INE302A01020 |
|  EXPLEOSOL  |   479.3   | INE201K01015 |
|     FACT    |   47.15   | INE188A01015 |
|     FCL     |   35.25   | INE045J01026 |
|  FCONSUMER  |    7.0    | INE220J01025 |
|   FCSSOFT   |    0.35   | INE512B01022 |
|     FDC     |   325.25  | INE258B01022 |
|  FEDERALBNK |    57.5   | INE171A01029 |
|     FEL     |    9.2    | INE623B01027 |
|    FELDVR   |   11.45   | IN9623B01058 |
|   FIEMIND   |   500.0   | INE737H01014 |
|   FILATEX   |   27.05   | INE816B01027 |
|  FINCABLES  |   277.0   | INE235A01022 |
|   FINEORG   |   2534.0  | INE686Y01026 |
|   FINPIPE   |   593.6   | INE183A01016 |
|  FLEXITUFF  |    8.95   | INE060J01017 |
|     FLFL    |    74.1   | INE452O01016 |
|  FLUOROCHEM |   506.0   | INE09N301011 |
|   FMGOETZE  |   263.75  | INE529A01010 |
|     FMNL    |    14.7   | INE360L01017 |
|   FORCEMOT  |  1046.05  | INE451A01017 |
|    FORTIS   |   131.45  | INE061F01013 |
|  FOSECOIND  |   1130.0  | INE519A01011 |
|   FRETAIL   |   67.95   | INE752P01024 |
|     FSC     |    83.5   | INE935Q01015 |
|     FSL     |    73.0   | INE684F01012 |
|   GABRIEL   |   100.9   | INE524A01029 |
|     GAEL    |   111.0   | INE036B01030 |
|     GAIL    |    93.1   | INE129A01019 |
|     GAL     |    2.95   | INE482J01021 |
|  GALAXYSURF |   1697.0  | INE600K01018 |
|   GALLANTT  |    32.0   | INE297H01019 |
|  GALLISPAT  |    27.0   | INE528K01029 |
|  GAMMNINFRA |    0.55   | INE181G01025 |
|  GANDHITUBE |   215.5   | INE524B01027 |
|   GANECOS   |   264.9   | INE845D01014 |
|  GANESHHOUC |   26.65   | INE460C01014 |
|  GANGESSECU |   39.25   | INE335W01016 |
|  GARDENSILK |    8.05   | INE526A01016 |
|  GARFIBRES  |   1985.0  | INE276A01018 |
|     GATI    |    69.5   | INE152B01027 |
|   GAYAHWS   |    0.4    | INE287Z01012 |
|   GAYAPROJ  |    24.4   | INE336H01023 |
|     GDL     |    98.4   | INE852F01015 |
|    GEECEE   |    73.0   | INE916G01016 |
|   GENESYS   |    48.0   | INE727B01026 |
|  GENUSPAPER |    4.75   | INE949P01018 |
|  GENUSPOWER |   26.25   | INE955D01029 |
|  GEOJITFSL  |    39.9   | INE007B01023 |
|    GEPIL    |   225.85  | INE878A01011 |
|    GESHIP   |   228.5   | INE017A01032 |
|    GET&D    |   86.15   | INE200A01026 |
|  GFLLIMITED |    81.1   | INE538A01037 |
|   GFSTEELS  |    2.85   | INE534A01028 |
|     GHCL    |   154.3   | INE539A01019 |
|  GICHSGFIN  |   105.7   | INE289B01019 |
|    GICRE    |   123.7   | INE481Y01014 |
|  GILLANDERS |   28.65   | INE047B01011 |
|   GILLETTE  |   5511.7  | INE322A01010 |
|  GINNIFILA  |    11.9   | INE424C01010 |
|    GIPCL    |    68.1   | INE162A01010 |
|  GKWLIMITED |   450.0   | INE528A01020 |
|    GLAXO    |  1437.95  | INE159A01016 |
|   GLENMARK  |   479.8   | INE935A01035 |
|     GLFL    |    2.1    | INE540A01017 |
|  GLOBALVECT |    44.8   | INE792H01019 |
|    GLOBE    |    56.0   | INE581X01013 |
|   GLOBOFFS  |    5.8    | INE446C01013 |
|  GLOBUSSPR  |   329.05  | INE615I01010 |
|    GMBREW   |   407.0   | INE075D01018 |
|   GMDCLTD   |   43.75   | INE131A01031 |
|  GMMPFAUDLR |   3400.0  | INE541A01023 |
|   GMRINFRA  |    24.3   | INE776C01039 |
|     GNA     |   234.5   | INE934S01014 |
|     GNFC    |   189.8   | INE113A01013 |
|  GOACARBON  |   215.1   | INE426D01013 |
|   GOCLCORP  |   174.7   | INE077F01035 |
|  GODFRYPHLP |   884.0   | INE260B01028 |
|  GODREJAGRO |   501.5   | INE850D01014 |
|   GODREJCP  |   689.2   | INE102D01028 |
|  GODREJIND  |   381.9   | INE233A01035 |
|  GODREJPROP |   989.6   | INE484J01027 |
|    GOKEX    |    69.4   | INE887G01027 |
|    GOKUL    |   12.45   | INE020J01029 |
|  GOKULAGRO  |   13.65   | INE314T01025 |
|   GOLDBEES  |   44.22   | INF204KB17I5 |
|  GOLDENTOBC |    21.7   | INE973A01010 |
|   GOLDIAM   |   157.6   | INE025B01017 |
|  GOLDSHARE  |  4579.95  | INF789F01059 |
|   GOLDTECH  |    7.85   | INE805A01014 |
|   GOODLUCK  |    39.9   | INE127I01024 |
|   GOODYEAR  |   804.0   | INE533A01012 |
|     GPIL    |   356.0   | INE177H01013 |
|     GPPL    |   89.25   | INE517F01014 |
|   GPTINFRA  |   28.15   | INE390G01014 |
|   GRANULES  |   375.5   | INE101D01020 |
|   GRAPHITE  |   183.3   | INE371A01025 |
|    GRASIM   |   807.0   | INE047A01021 |
|   GRAVITA   |    42.8   | INE024L01027 |
|  GREAVESCOT |    71.7   | INE224A01026 |
|   GREENLAM  |   756.55  | INE544R01013 |
|  GREENPANEL |    80.0   | INE08ZM01014 |
|   GREENPLY  |    92.3   | INE461C01038 |
|  GREENPOWER |    2.1    | INE999K01014 |
|  GRINDWELL  |   539.7   | INE536A01023 |
|   GROBTEA   |   498.9   | INE646C01018 |
|    GRPLTD   |   789.0   | INE137I01015 |
|     GRSE    |   189.0   | INE382Z01011 |
|  GSCLCEMENT |   30.15   | INE542A01039 |
|     GSFC    |   63.35   | INE026A01025 |
|     GSPL    |   187.0   | INE246F01010 |
|     GSS     |    35.5   | INE871H01011 |
|     GTL     |    3.05   | INE043A01012 |
|   GTLINFRA  |    0.6    | INE221H01019 |
|    GTNIND   |    7.05   | INE537A01013 |
|    GTNTEX   |    5.25   | INE302H01017 |
|     GTPL    |   114.0   | INE869I01013 |
|   GUFICBIO  |   122.0   | INE742B01025 |
|  GUJALKALI  |   310.0   | INE186A01019 |
