name, bse_code, nse_code, industry, cmp, mcap, sales, np, pe, pe5, peg, p2bv, p2sales, ev2ebitda, ev, opm, d2e, dp, dp3, dy, roe3, roce3, cr, sales5, profit5, pledge, piotski, 
HDFC Life Insur., 540777, HDFCLIFE, Finance & Investments, 598.20, 73.69, 1, 0, 120697.14, 0.00, 25.33, 91.35, 71.14, 7.63, 25.02, 30.28, 344.40, 2.05, 1321.24, , 609.00, 40084.36, 119457.32, 5658.37, 3640.88, 1.10, 21.34, 
HEG, 509631, HEG, Electrodes - Graphites, 967.25, 10.75, 1, 0, 3733.15, 0.18, 80.96, 1.48, 11.97, 0.02, 13.23, 94.24, 873.35, 65.58, 2514.54, 161.38, 4955.00, 5821.95, 3842.19, 3719.00, 3680.40, 49.52, 1.00, 
Heidelberg Cem., 500292, HEIDELBERG, Cement - North India, 185.55, 52.72, 0, 0, 4204.81, 0.44, 14.09, 16.92, 33.47, 0.34, 47.70, 17.49, 121.50, 23.90, 248.57, 6.29, 217.60, 2182.37, 4383.96, 1171.19, 944.57, 8.09, 3.59, 
Heritage Foods, 519552, HERITGFOOD, Food - Processing - Indian, 379.35, 21.49, 0, 0, 1760.11, 0.37, 22.28, 21.78, 25.00, 1.73, 9.85, 24.49, 312.25, -4.62, 80.66, 6.87, 579.45, 2594.40, 1984.72, 802.56, 779.36, 19.20, 2.19, 
Hero Motocorp, 500182, HEROMOTOCO, Automobiles - Motorcycles / Mopeds, 2688.35, 20.79, 1, 0, 53693.58, 0.00, 30.94, 16.57, 20.36, 1.43, 50.97, 44.18, 2225.60, 14.33, 3733.04, 443.39, 3382.70, 32870.99, 53557.12, 12857.12, 12817.17, 31.02, 4.18, 
Hexaware Tech., 532129, HEXAWARE, Computers - Software - Medium / Small, 376.25, 27.85, 1, 0, 11224.96, 0.07, 26.53, 18.74, 18.01, 2.08, 35.57, 34.14, 294.30, 15.78, 585.41, 717.20, 460.00, 5034.40, 10570.31, 2539.82, 2480.22, 26.13, 4.42, 
H F C L, 500183, HFCL, Telecommunications - Equipment, 17.50, 2.94, 0, 0, 2247.66, 0.38, 13.63, 9.81, 13.24, 2.13, 3.91, 16.85, 17.00, 8.73, 229.01, 5.16, 25.30, 4536.38, 2663.65, 1436.07, 1307.63, 9.35, 1.56, 
Himatsing. Seide, 514043, HIMATSEIDE, Textiles - Products, 137.70, 14.65, 0, 0, 1355.79, 1.96, 16.47, 6.86, 13.30, 0.28, 16.91, 13.20, 120.10, 21.16, 197.51, 2.81, 281.00, 2674.59, 3894.95, 1421.06, 1371.83, 6.30, 0.95, 
Hindalco Inds., 500440, HINDALCO, Aluminium and Aluminium Products, 189.75, 10.90, 0, 0, 42616.41, 0.91, 8.20, 7.69, 17.20, 0.38, 7.46, 9.64, 171.10, 11.93, 5495.67, 3.16, 259.75, 130542.25, 85244.86, 57497.84, 57275.45, 3.50, 0.74, 
Hind.Copper, 513599, HINDCOPPER, Mining / Minerals / Metals, 33.80, 21.36, 0, 0, 3127.24, 0.66, 6.34, 23.79, 74.96, -1.94, 30.66, 8.67, 27.85, 28.77, 131.45, 5.52, 53.75, 1702.43, 4186.52, 1631.12, 1168.51, 4.25, 1.92, 
H P C L, 500104, HINDPETRO, Refineries, 309.45, 89.85, 1, 0, 47154.69, 0.97, 27.64, 9.21, 7.70, 0.33, 43.35, 21.99, 163.00, 3.55, 5120.40, 11.76, 333.50, 278557.07, 74298.78, 28174.43, 26650.61, 13.47, 1.67, 
Hind. Unilever, 500696, HINDUNILVR, Personal Care - Multinational, 1990.30, 34.73, 1, 0, 430862.54, 0.00, 77.26, 67.59, 47.93, 5.64, 81.00, 108.70, 1477.20, 23.25, 6262.00, 202.18, 2101.50, 38851.00, 427174.54, 7659.00, 7443.00, 64.58, 56.26, 
Hind.Zinc, 500188, HINDZINC, Mining / Minerals / Metals, 213.95, 10.85, 1, 0, 90400.70, 0.08, 23.96, 11.59, 11.58, 2.38, 97.34, 29.04, 193.00, 50.19, 7803.00, 78.78, 299.00, 20795.00, 92915.70, 33605.00, 32760.00, 21.47, 2.69, 
Honeywell Auto, 517174, HONAUT, Electronics - Components, 28130.40, 56.45, 0, 0, 24867.27, 0.00, 19.61, 65.23, 55.96, 1.97, 9.21, 31.66, 17980.00, 16.67, 381.23, 105.64, 29499.00, 3261.40, 23642.75, 1747.46, 1738.62, 18.92, 14.23, 
Himadri Specialt, 500184, HSCL, Chemicals, 78.65, 27.27, 0, 0, 3292.37, 0.28, 16.45, 10.83, 21.20, 0.20, 2.97, 19.36, 61.80, 22.07, 303.88, 7.48, 147.15, 2295.57, 3722.26, 1677.23, 1635.37, 10.31, 1.96, 
H U D C O, 540530, HUDCO, Finance - Housing, 33.55, 16.90, 0, 0, 6716.37, 5.46, 10.41, 5.68, 10.37, 0.57, 12.66, 8.64, 28.70, 91.77, 1182.45, 1.54, 47.80, 5816.78, 66224.29, 10955.77, 8953.87, 2.22, 0.61, 
Indbull.RealEst., 532832, IBREALEST, Construction, 43.65, 0.00, 0, 0, 1984.61, 1.50, 26.18, 5.92, 8.79, 0.34, 0.00, 15.91, 43.65, 20.63, 267.57, 2.48, 151.00, 4969.62, 7231.17, 2950.91, 2859.98, 8.15, 0.50, 
Indiabulls Hous., 535789, IBULHSGFIN, Finance - Housing, 267.60, 18.59, 0, 0, 11441.88, 6.42, 27.19, 2.98, 11.54, 0.14, 42.02, 12.01, 225.65, 89.63, 3837.34, 1.54, 1003.90, 16557.97, 102576.83, 16482.15, 16396.64, 3.39, 0.69, 
Indiabulls Integ, 533520, IBULISL, Trading, 122.95, 59.68, 0, 0, 1098.26, 0.24, -2.83, , 74.61, , 53.10, 1.94, 77.00, -103.60, -128.62, -1.12, 471.25, 195.98, 1428.88, 1433.11, 1415.24, -1.43, 0.77, 
Indiabulls Vent., 532960, IBVENTURES, Finance & Investments, 111.50, 0.09, 0, 0, 6820.85, 1.28, 13.33, 14.18, 21.67, 0.41, 21.93, 11.48, 111.40, 60.96, 481.16, 1.94, 510.00, 2352.19, 12716.50, 6425.97, 6312.48, 4.37, 1.06, 
ICICI Bank, 532174, ICICIBANK, Banks - Private Sector, 424.60, 44.03, 0, 0, 274273.97, 7.80, 6.94, 40.55, 23.91, -2.35, 13.98, 5.37, 294.80, 0.36, 6763.05, 1.52, 458.65, 84352.60, 1078524.13, 114250.00, 112959.27, 0.76, 2.40, 
ICICI Lombard, 540716, ICICIGI, Miscellaneous, 1203.20, 88.35, 0, 0, 54676.84, 0.09, 16.08, 51.11, 43.28, 5.83, 23.18, 21.19, 638.80, 6.24, 1069.78, , 1285.35, 9629.86, 54760.19, 5439.67, 4985.26, 13.15, 10.05, 
ICICI Pru Life, 540133, ICICIPRULI, Finance & Investments, 466.85, 68.33, 0, 0, 67032.17, 0.00, 23.43, 58.60, 37.84, -9.61, 53.91, 25.87, 277.35, 1.27, 1143.95, , 471.70, 41878.89, 66371.15, 7301.57, 5865.73, 1.17, 9.18, 
IDBI Bank, 500116, IDBI, Banks - Private Sector, 30.55, 29.72, 0, 0, 23634.38, 7.25, -37.88, , 11.50, , 0.00, 1.09, 23.55, -55.44, -16507.25, -0.53, 65.80, 21402.79, 275060.12, 37611.69, 29875.40, -2.90, 0.63, 
Vodafone Idea, 532822, IDEA, Telecommunications - Service Provider, 5.40, 12.50, 0, 0, 15517.11, 2.11, -22.36, , 19.91, , 0.00, -3.07, 4.80, 16.56, -19734.20, -0.90, 27.51, 42473.20, 140466.21, 79634.60, 50899.20, -5.65, 0.26, 
I D F C, 532659, IDFC, Finance & Investments, 32.50, 4.84, 0, 0, 5188.16, 0.00, 2.77, , 12.12, , 6.49, 5.42, 31.00, -237.47, -839.18, -144.01, 48.10, 355.53, 4924.14, 10384.81, 8788.45, -0.89, 0.50, 
IDFC First Bank, 539437, IDFCFIRSTB, Banks - Private Sector, 38.65, 18.20, 0, 0, 18485.39, 7.74, -0.13, , 24.93, , 12.09, 6.27, 32.70, 51.47, -2743.09, 0.80, 56.90, 13420.15, 149381.01, 18160.07, 13377.59, 0.16, 1.02, 
Indian Energy Ex, 540750, IEX, Finance & Investments, 120.85, 7.90, 1, 1, 3620.14, 0.00, 46.49, 22.25, 34.05, 1.71, 55.33, 68.78, 112.00, 79.85, 162.73, 187.39, 178.00, 247.66, 3552.52, 369.90, 340.08, 44.84, 9.78, 
IFB Inds., 505726, IFBIND, Domestic Appliances, 662.20, 18.38, 0, 0, 2683.23, 0.02, 12.48, 47.30, 44.21, 2.00, 0.00, 17.04, 559.40, 4.56, 70.11, 12.13, 1044.70, 2618.76, 2602.42, 620.65, 579.37, 11.10, 4.32, 
IFCI, 500106, IFCI, Finance - Term-Lending Institutions, 6.95, 1.46, 0, 0, 1178.72, 3.81, -3.88, , 10.22, , 0.00, 6.00, 6.85, 82.57, -113.43, 1.14, 15.35, 1995.93, 16332.77, 4225.30, 2529.31, -0.88, 0.28, 
Indraprastha Gas, 532514, IGL, Miscellaneous, 350.15, 62.71, 1, 0, 24510.53, 0.00, 20.02, 29.56, 21.05, 1.91, 21.02, 30.58, 215.20, 21.77, 829.13, 404.30, 372.35, 6050.55, 23903.44, 4129.85, 3989.85, 20.01, 5.93, 
Indian Hotels, 500850, INDHOTEL, Hotels, 153.35, 40.30, 0, 0, 18237.28, 0.53, 2.72, 64.20, 58.07, 1.97, 4.37, 7.06, 109.30, 19.61, 277.22, 2.84, 164.30, 4552.30, 20322.32, 4348.00, 4229.07, 1.21, 4.19, 
India Cements, 530005, INDIACEM, Cement - South India, 80.60, 18.97, 0, 0, 2497.77, 0.65, 1.63, 125.33, 69.84, 7.22, 58.06, 5.88, 67.75, 10.84, 21.06, 1.13, 116.95, 5770.37, 5890.45, 5245.98, 4936.08, 0.99, 0.48, 
Indian Bank, 532814, INDIANB, Banks - Public Sector, 118.20, 4.93, 0, 0, 5809.94, 13.11, 5.60, 12.15, 13.98, -0.54, 6.83, 5.33, 112.65, 56.50, 478.01, 1.05, 292.70, 19630.23, 240003.05, 19399.93, 18908.40, 0.45, 0.30, 
Interglobe Aviat, 539448, INDIGO, Transport - Airlines, 1869.90, 170.61, , 0, 71926.98, 0.35, 20.83, 54.13, 103.16, , 69.15, 23.61, 691.00, 7.42, 1328.82, 2.50, 1911.00, 31404.86, 65749.79, 6939.14, 6554.50, 9.92, 10.36, 
Indostar Capital, 541336, INDOSTAR, Finance & Investments, 207.85, 1.39, 0, 0, 1917.78, 2.97, 10.44, 7.48, 15.94, , 2.55, 10.86, 205.00, 77.54, 256.40, 1.57, 442.85, 1399.56, 9734.30, 3006.29, 2914.03, 3.37, 0.64, 
IndusInd Bank, 532187, INDUSINDBK, Banks - Private Sector, 1298.05, 9.26, 0, 0, 89950.48, 9.08, 14.66, 24.32, 27.21, 1.31, 12.90, 7.91, 1188.05, 58.61, 3697.88, 1.38, 1835.00, 24154.37, 317356.11, 26675.24, 26072.10, 1.71, 3.37, 
Infibeam Avenues, 539807, INFIBEAM, Computers - Software - Medium / Small, 39.95, 45.27, 0, 0, 2650.25, 0.01, 4.28, 30.24, 76.46, 0.76, 1.72, 5.47, 27.50, 15.11, 127.03, 17.38, 80.55, 1159.07, 2557.76, 2767.25, 2700.91, 4.54, 0.96, 
Bharti Infra., 534816, INFRATEL, Transmisson Line Towers / Equipment, 249.00, 4.32, 0, 0, 46055.25, 0.00, 14.66, 16.79, 31.70, 1.71, 107.61, 20.32, 238.70, 47.69, 2742.80, -9.78, 335.00, 6854.60, 46059.25, 14531.60, 12682.00, 14.04, 3.17, 
Infosys, 500209, INFY, Computers - Software - Large, 793.55, 32.29, 1, 0, 338787.96, 0.00, 22.95, 21.80, 19.41, 2.93, 53.56, 30.71, 599.85, 24.16, 15591.00, 530.08, 847.40, 85351.00, 319219.96, 56480.00, 54343.00, 22.86, 6.00, 
Inox Leisure, 532706, INOXLEISUR, Entertainment / Electronic Media Software, 328.95, 75.07, 0, 0, 3383.51, 0.11, 15.02, 26.64, 42.69, 0.89, 0.00, 16.12, 187.90, 21.18, 123.49, 3.79, 383.40, 1770.25, 3480.38, 963.88, 861.25, 9.44, 3.51, 
Inox Wind, 539083, INOXWIND, Electric Equipment, 32.25, 4.71, 0, 0, 715.69, 0.66, 1.25, , 12.47, , 0.00, 5.66, 30.80, 9.76, -64.19, 0.42, 99.80, 1266.58, 1885.45, 1964.87, 1742.95, 0.57, 0.36, 
Intellect Design, 538835, INTELLECT, Computers - Software - Medium / Small, 178.35, 18.07, 0, 0, 2357.86, 0.13, 4.27, 27.44, -10.70, , 0.00, 5.26, 151.05, 7.79, 91.22, 8.71, 292.00, 1493.50, 2409.26, 1019.81, 953.85, 2.66, 2.31, 
I O B, 532388, IOB, Banks - Public Sector, 9.55, 9.14, 0, 0, 8730.27, 13.98, -31.27, , 10.80, , 0.00, 2.90, 8.75, 19.98, -3160.52, 0.59, 15.80, 17719.05, 206518.89, 16359.88, 7218.23, -1.84, 0.53, 
I O C L, 530965, IOC, Refineries, 148.55, 41.14, 1, 0, 139847.33, 0.86, 18.75, 9.97, 10.67, 0.42, 61.31, 19.27, 105.25, 5.79, 14033.77, 4.83, 170.75, 530738.53, 235547.69, 112702.36, 103288.20, 10.90, 1.24, 
Ipca Labs., 524494, IPCALAB, Pharmaceuticals - Indian - Bulk Drugs & Formln, 894.85, 51.64, 0, 0, 11306.62, 0.14, 10.94, 21.68, 39.61, -18.69, 6.82, 11.69, 590.10, 20.43, 521.44, 36.89, 1046.00, 3790.23, 11491.02, 3136.66, 3111.39, 8.55, 3.60, 
IRB Infra.Devl., 532947, IRB, Construction, 71.60, 6.07, 0, 0, 2516.38, 2.63, 14.43, 3.12, 10.75, 0.24, 18.00, 11.92, 67.50, 43.88, 806.49, 2.17, 169.50, 6942.11, 17555.55, 6315.15, 5963.70, 2.02, 0.40, 
Ircon Intl., 541956, IRCON, Construction, 366.85, 10.07, 0, 0, 3450.28, 0.78, 10.02, 8.15, 8.51, -0.60, 65.14, 10.70, 333.30, 9.83, 423.16, 42.00, 471.00, 4831.80, 3594.07, 3949.54, 3855.49, 5.59, 0.87, 
ICICI Sec, 541179, ISEC, Finance & Investments, 277.80, 47.77, , 0, 8949.09, 0.43, , 19.01, 15.89, , 51.42, , 188.00, 46.42, 470.69, 16.52, 310.00, 1658.17, 6252.29, 1047.27, 886.20, 353.68, 8.55, 
ITC, 500875, ITC, Cigarettes, 255.90, 9.34, 1, 1, 314411.28, 0.00, 22.90, 24.53, 31.26, 3.11, 56.37, 34.44, 234.05, 38.41, 12819.58, 451.58, 310.00, 46005.36, 310653.68, 57949.79, 56723.93, 22.82, 5.43, 
I T D C, 532189, ITDC, Hotels, 226.15, 49.22, 0, 0, 1939.67, 0.00, 4.48, 78.12, 135.32, 3.51, 77.37, 6.50, 151.55, 6.91, 35.76, 36.90, 351.00, 336.60, 1650.03, 355.58, 269.81, 3.78, 5.45, 
ITD Cem, 509496, ITDCEM, Construction, 47.70, 9.28, 0, 0, 819.43, 0.52, 11.69, 19.22, 36.72, 0.35, 8.69, 20.81, 43.65, 9.37, 42.64, 1.75, 143.85, 2558.02, 1243.01, 1020.87, 1003.69, 6.74, 0.80, 
ITI, 523610, ITI, Telecommunications - Equipment, 80.15, 42.87, 0, 0, 7189.46, 0.70, 22.42, 249.37, 18.37, 11.63, 0.00, 15.96, 56.10, -2.54, 28.83, 1.26, 116.80, 1640.71, 8123.42, 1793.70, 896.70, 7.83, 4.01, 
J & K Bank, 532209, J&KBANK, Banks - Private Sector, 32.25, 3.70, 0, 0, 1795.87, 13.92, -5.25, 4.14, 9.27, -0.24, 0.00, 4.49, 31.10, 53.83, 434.17, 1.15, 65.95, 7984.73, 88196.85, 6626.10, 6570.40, -0.44, 0.27, 
Jagran Prakashan, 532705, JAGRAN, Entertainment / Electronic Media Software, 63.20, 7.12, 0, 0, 1873.32, 0.22, 14.24, 7.82, 16.10, 2.08, 33.06, 20.29, 59.00, 21.81, 239.51, 13.11, 128.95, 2344.36, 2157.78, 1875.71, 1816.43, 11.17, 1.00, 
Jai Corp, 512237, JAICORPLTD, Plastics Products, 77.75, 19.25, 0, 0, 1387.44, 0.28, 0.06, , 15.89, , -175.61, 3.89, 65.20, 10.12, -108.10, 2.21, 132.70, 635.58, 1727.30, 1034.11, 1016.26, 0.01, 1.10, 
Jamna Auto Inds., 520051, JAMNAAUTO, Auto Ancillaries, 35.55, 17.33, 1, 0, 1416.54, 0.01, 32.47, 12.02, 22.26, 0.08, 27.04, 47.67, 30.30, 12.37, 117.85, 8.71, 79.40, 1999.06, 1395.68, 509.57, 469.72, 27.64, 2.78, 
J B Chem & Pharm, 506943, JBCHEPHARM, Pharmaceuticals - Indian - Bulk Drugs & Formln, 362.30, 33.05, 0, 0, 2906.97, 0.02, 9.65, 14.60, 16.81, 1.24, 13.33, 13.00, 272.30, 19.81, 199.14, 82.63, 411.00, 1546.15, 2912.00, 1484.57, 1468.52, 9.17, 1.96, 
Johnson Con. Hit, 523398, JCHAC, Air-conditioners, 1918.10, 30.48, 0, 0, 5215.31, 0.31, 18.32, 52.78, 62.79, 0.87, 4.61, 24.09, 1470.00, 7.93, 98.81, 37.34, 2151.00, 2399.14, 5375.08, 612.99, 585.80, 14.73, 8.51, 
Jet Airways, 532617, JETAIRWAYS, Transport - Airlines, 26.70, 1.14, 0, 0, 303.31, , , , 4.66, , 0.00, 25.87, 26.40, -12.72, -4244.23, -3.36, 366.95, 24244.44, 4171.65, -9767.97, -9881.57, -1.65, , 
Jindal Saw, 500378, JINDALSAW, Steel - Large, 84.30, 33.81, 0, 0, 2695.53, 0.91, 5.09, 4.69, 15.99, 0.11, 19.04, 7.15, 63.00, 12.07, 850.16, 1.98, 97.25, 12117.00, 8156.32, 6282.36, 6218.41, 2.37, 0.43, 
Jindal Steel, 532286, JINDALSTEL, Steel - Sponge Iron, 97.45, 7.03, 0, 0, 9940.06, 1.22, -3.17, , 14.18, , 0.00, 2.80, 91.05, 20.94, -1816.74, 0.64, 197.80, 39652.37, 49077.46, 32427.85, 32326.05, -1.26, 0.31, 
Jain Irrigation, 500219, JISLJALEQS, Plastics Products, 18.75, 15.03, 0, 0, 959.34, 1.19, 4.88, 5.35, 35.89, 0.40, 22.10, 9.12, 16.30, 10.55, 179.41, 1.57, 76.80, 8407.19, 6061.27, 4413.09, 4309.96, 2.28, 0.22, 
J K Cements, 532644, JKCEMENT, Cement - North India, 1039.20, 59.99, 0, 0, 8029.72, 0.82, 14.36, 18.70, 28.25, 0.68, 23.59, 14.61, 649.55, 18.55, 429.37, 3.83, 1150.00, 5193.70, 9902.68, 2892.81, 2815.54, 6.14, 2.78, 
JK Lakshmi Cem., 500380, JKLAKSHMI, Cement - North India, 307.75, 23.32, 0, 0, 3621.30, 1.06, 3.47, 28.98, 48.69, -3.41, 10.79, 7.11, 249.55, 12.27, 105.21, 1.99, 396.20, 4000.70, 5216.14, 1522.67, 1463.82, 1.33, 2.38, 
JK Tyre & Indust, 530007, JKTYRE, Tyres, 67.85, 26.70, 0, 0, 1670.68, 2.52, 9.13, 10.19, 15.18, -1.33, 22.21, 10.05, 53.55, 9.77, 129.12, 1.45, 114.80, 10505.81, 7258.52, 2284.40, 2235.16, 2.48, 0.73, 
JM Financial, 523405, JMFINANCIL, Finance & Investments, 76.25, 24.08, 0, 0, 6413.14, 2.73, 13.82, 11.52, 12.71, 0.52, 21.71, 14.55, 61.45, 78.11, 556.75, 1.87, 98.70, 3493.13, 19122.01, 5131.79, 5047.70, 3.30, 1.25, 
JP Associates, 532532, JPASSOCIAT, Construction, 2.35, 20.51, 0, 0, 571.63, 27.82, -69.73, , 0.00, , 0.00, -0.72, 1.95, 9.68, -2110.36, 0.15, 8.05, 10820.75, 28839.16, 1031.00, 544.51, -6.88, 0.55, 
Jindal Stain., 532508, JSL, Steel - Large, 34.15, 62.62, 0, 0, 1663.91, 1.08, 7.19, 16.32, 19.53, 0.99, 0.00, 11.46, 21.00, 8.57, 115.02, 1.23, 59.50, 12534.16, 5072.61, 2474.51, 2378.67, 2.19, 0.67, 
Jindal Stain. Hi, 539597, JSLHISAR, Steel - Large, 61.40, 5.86, 0, 0, 1448.64, 1.44, 26.03, 6.06, 14.49, , 0.00, 21.28, 58.00, 9.87, 266.26, 2.07, 119.40, 8970.52, 3610.91, 1516.71, 1469.52, 7.18, 0.96, 
JSW Energy, 533148, JSWENERGY, Power Generation And Supply, 62.75, 12.05, 0, 0, 10303.06, 0.89, 3.83, 14.50, 37.07, -2.04, 12.18, 9.54, 56.00, 31.30, 710.34, 1.84, 77.25, 9189.20, 20654.37, 11822.58, 10181.37, 1.74, 0.87, 
JSW Holdings, 532642, JSWHL, Finance & Investments, 2763.00, 54.35, 0, 0, 3066.93, 0.00, 1.51, 35.09, 30.37, 1.62, 0.00, 1.82, 1790.10, 95.03, 87.39, , 3138.95, 106.46, 3056.93, 8179.56, 8168.49, 2.79, 0.37, 
JSW Steel, 500228, JSWSTEEL, Steel - Large, 222.65, 10.36, 0, 0, 53819.41, 1.36, 22.81, 8.62, 28.30, 0.11, 16.98, 17.47, 201.75, 20.81, 6241.00, 3.34, 387.50, 84050.00, 95009.41, 34734.00, 34494.00, 8.38, 1.55, 
Jubilant Life, 530019, JUBILANT, Pharmaceuticals - Indian - Bulk Drugs, 505.30, 29.22, 0, 0, 8049.43, 1.01, 17.22, 11.01, 20.26, 0.37, 9.29, 15.43, 391.05, 18.84, 556.94, 5.23, 898.85, 9214.03, 11519.45, 4808.92, 4792.99, 8.07, 1.67, 
Jubilant Food., 533155, JUBLFOOD, Food - Processing - MNC, 1334.65, 36.61, 1, 0, 17613.25, 0.00, 20.78, 53.70, 76.09, 2.53, 20.31, 31.57, 977.00, 18.94, 322.91, 13.75, 1529.95, 3615.70, 17124.19, 1323.72, 1191.75, 19.70, 13.31, 
Just Dial, 535648, JUSTDIAL, Miscellaneous, 690.75, 66.01, 0, 0, 4479.49, 0.00, 17.35, 19.86, 44.64, 1.18, 0.00, 23.49, 416.10, 25.62, 225.54, 162.84, 824.85, 920.24, 4443.25, 998.64, 933.87, 16.63, 4.49, 
Jyothy Labs, 532926, JYOTHYLAB, Personal Care - Indian, 168.20, 21.71, 1, 0, 6176.45, 0.25, 26.95, 30.93, 46.03, 2.40, 38.88, 21.64, 138.20, 16.48, 196.71, 9.85, 222.45, 1777.95, 6306.08, 853.95, 817.23, 16.40, 7.23, 
Kajaria Ceramics, 500233, KAJARIACER, Ceramics - Tiles / Sanitaryware, 556.15, 79.40, 1, 0, 8840.02, 0.08, 19.05, 37.44, 35.10, 2.82, 20.07, 27.29, 310.00, 15.29, 233.10, 24.30, 649.65, 2999.17, 8707.97, 1574.90, 1559.00, 15.75, 5.61, 
Kalpataru Power, 522287, KALPATPOWR, Transmisson Line Towers / Equipment, 484.65, 81.52, 0, 0, 7498.29, 0.21, 12.54, 18.18, 17.96, 0.81, 11.60, 20.71, 267.00, 10.92, 412.38, 6.12, 554.50, 7444.76, 7999.46, 3152.47, 3121.47, 9.49, 2.38, 
Kansai Nerolac, 500165, KANSAINER, Paints / Varnishes, 509.75, 48.62, 0, 0, 27471.43, 0.00, 15.81, 57.78, 39.74, 3.37, 29.69, 23.79, 343.00, 14.65, 475.41, 577.39, 535.40, 5261.17, 27399.77, 3424.47, 3370.58, 15.79, 8.02, 
K E C Intl., 532714, KEC, Transmisson Line Towers / Equipment, 270.50, 17.63, 1, 0, 6954.24, 0.76, 23.33, 13.98, 19.41, 0.30, 13.63, 25.05, 229.95, 10.48, 497.55, 3.32, 340.95, 11308.70, 8517.51, 2435.10, 2383.68, 10.74, 2.86, 
KEI Inds., 517569, KEI, Cables - Power, 513.70, 107.14, 0, 0, 4054.40, 0.77, 25.67, 20.74, 14.88, 0.28, 5.20, 25.56, 248.00, 10.62, 195.50, 3.14, 562.00, 4424.43, 4458.51, 778.90, 763.11, 10.71, 5.21, 
KNR Construct., 532942, KNRCON, Construction, 227.60, 39.38, 0, 0, 3200.45, 0.19, 21.97, 13.38, 12.55, 0.40, 2.89, 21.45, 163.30, 19.91, 236.98, 9.62, 303.35, 2045.49, 3451.57, 1414.31, 1386.19, 18.28, 2.26, 
Kotak Mah. Bank, 500247, KOTAKBANK, Banks - Private Sector, 1648.20, 58.48, 0, 0, 314801.86, 5.00, 13.57, 43.92, 32.39, 1.84, 2.17, 8.01, 1040.00, 34.14, 7561.86, 1.68, 1683.95, 31345.58, 574800.60, 57780.02, 56825.35, 2.06, 5.40, 
K P R Mill Ltd, 532889, KPRMILL, Textiles - Products, 545.80, 6.77, 0, 0, 3960.37, 0.48, 21.11, 11.45, 12.59, 0.62, 1.82, 21.27, 511.20, 18.88, 345.84, 11.11, 665.00, 3383.98, 4741.86, 1790.17, 1753.89, 13.53, 2.21, 
KRBL, 530813, KRBL, Food - Processing - Indian, 218.80, 11.18, 1, 0, 5150.33, 0.52, 21.15, 9.55, 16.50, 0.65, 12.18, 21.25, 196.80, 19.70, 539.09, 11.66, 391.20, 4594.73, 6572.75, 2726.70, 2703.16, 13.45, 1.89, 
Karnataka Bank, 532652, KTKBANK, Banks - Private Sector, 73.65, 3.51, 0, 0, 2081.41, 12.41, 8.21, 4.25, 7.40, 0.47, 23.92, 6.38, 71.15, 61.21, 489.42, 1.15, 141.25, 6082.69, 70249.29, 5785.19, 5502.57, 0.64, 0.36, 
L&T Fin.Holdings, 533519, L&TFH, Finance & Investments, 83.15, 3.68, 0, 0, 16634.00, 6.80, 14.52, 7.42, 20.52, 0.25, 12.79, 9.49, 80.20, 74.09, 2242.28, 1.42, 159.25, 13414.89, 106266.83, 13449.32, 11449.79, 1.84, 1.24, 
Dr Lal Pathlabs, 539524, LALPATHLAB, Healthcare, 1335.60, 64.19, 1, 0, 11131.11, 0.00, 24.23, 53.26, 49.05, 2.71, 21.06, 37.00, 813.45, 25.17, 209.00, 72.50, 1475.00, 1246.30, 10640.87, 973.22, 889.92, 24.61, 12.73, 
La Opala RG, 526947, LAOPALA, Glass & Glass Products, 171.30, 19.62, 0, 0, 1901.43, 0.00, 15.83, 23.80, 43.40, 1.25, 17.49, 23.03, 143.20, 40.07, 79.90, 180.70, 258.00, 281.05, 1898.54, 529.14, 506.94, 16.03, 3.59, 
Laurus Labs, 540222, LAURUSLABS, Pharmaceuticals - Indian - Formulations, 360.15, 20.86, 0, 0, 3850.53, 0.67, 11.28, 41.71, 35.28, -80.21, 11.62, 12.53, 298.00, 15.57, 92.31, 2.32, 435.00, 2303.47, 4883.44, 1553.04, 1446.60, 6.59, 2.58, 
Lak. Mach. Works, 500252, LAXMIMACH, Textile Machinery, 3591.50, 1.74, 0, 0, 3836.80, 0.00, 12.30, 22.26, 25.53, 7.00, 20.20, 17.78, 3530.10, 9.12, 153.66, 293.12, 6450.00, 2452.21, 3313.36, 1690.36, 1679.68, 11.64, 2.27, 
Lemon Tree Hotel, 541233, LEMONTREE, Hotels, 57.10, 21.49, 0, 0, 4523.73, 1.37, 2.46, 92.45, 120.37, , 0.00, 5.85, 47.00, 31.58, 48.93, 1.41, 90.90, 563.50, 5687.90, 875.70, 85.73, 0.84, 5.17, 
LIC Housing Fin., 500253, LICHSGFIN, Finance - Housing, 377.40, 2.55, 0, 0, 19045.49, 10.85, 16.74, 7.70, 13.68, 0.59, 16.38, 9.45, 368.00, 93.42, 2473.74, 1.25, 587.00, 18105.74, 192388.22, 16259.21, 16158.28, 1.38, 1.17, 
Linde India, 523457, LINDEINDIA, Chemicals, 510.15, 33.46, 0, 0, 4350.56, 0.29, 1.39, 53.32, 357.34, -6.19, 43.64, 4.83, 382.25, 18.29, 81.59, 2.23, 819.00, 2053.71, 4652.95, 1465.92, 1380.64, 0.70, 2.97, 
