rank, name, bse_code, nse_code, isin, industry, captype, reco_type, reco_cause, cmp, mcap, sales, np, d2e, icr, roe3, roce3, dp3, dp, dy, pe, pe5, peg, p2bv, p2sales, ev2ebitda, ev, opm, cr, sales5, profit5, pledge, piotski, filter, nw, reserves, roa3, 
448, Suprajit Engg., 532509, SUPRAJIT, INE399C01030, -, Small Cap, BUY, tp, ?, 174.55, 2441.47, 1591.52, 129.84, 0.47, 9.09, 21.56, 22.69, 15.86, 16.2, 0.89, 18.8, 26.24, 0.86, 3.15, 1.53, 10.26, 2757.00, 14.37, 2.1, 24.09, 21.79, 0.00, 7.00, 1, 775.08, 761.09, 13.33, 
183, Supreme Inds., 509930, SUPREMEIND, INE195A01028, INDUSTRIAL MANUFACTURING, Mid Cap, BUY, tp, ?, 1220.6, 15504.9, 5698.46, 399.43, 0.08, 23.85, 23.66, 30.77, 38.8, 36.81, 1.07, 39.62, 29.09, 5.93, 7.2, 2.72, 19.68, 15630.01, 13.27, 1.49, 10.52, 6.68, 0.00, 6.00, 1, 2153.97, 2128.56, 20.53, 
249, Symphony, 517385, SYMPHONY, INE225D01027, CONSUMER GOODS, Mid Cap, BUY, tp, ?, 1283.55, 8979.33, 990.00, 105.00, 0.28, 18.4, 29.29, 38.26, 23.13, 34.12, 0.35, 76.86, 61.98, 6.00, 13.48, 9.07, 46.03, 9113.43, 15.45, 1.74, 19.45, 12.8, 0.00, 4.00, 1, 666.07, 652.07, 29.36, 
314, Tata Elxsi, 500408, TATAELXSI, INE670A01012, IT, Small Cap, BUY, tp, ?, 675.05, 4203.97, 1576.6, 268.25, 0.00, 300.49, 35.84, 54.11, 28.68, 29.00, 2.00, 15.67, 29.22, 0.51, 4.46, 2.67, 8.66, 3688.16, 24.00, 5.4, 15.64, 30.8, 0.00, 7.00, 1, 942.76, 880.48, 34.9, 
2, TCS, 532540, TCS, INE467B01029, IT, Large Cap, BUY, tp, ?, 2059.95, 772972.49, 150374.00, 32263.00, 0.00, 97.84, 33.13, 43.65, 35.98, 35.75, 1.46, 23.96, 23.02, 2.27, 8.64, 5.14, 16.81, 760186.49, 26.91, 2.83, 12.35, 10.55, 2.94, 8.00, 1, 89446.00, 89071.00, 32.31, 
38, Tech Mahindra, 532755, TECHM, INE669C01036, IT, Large Cap, BUY, tp, ?, 704.95, 68015.01, 35118.85, 4348.64, 0.1, 39.35, 20.23, 24.77, 29.85, 28.91, 2.02, 15.64, 16.23, 2.07, 3.35, 1.94, 9.67, 67651.81, 17.75, 1.81, 13.07, 7.55, 0.00, 7.00, 1, 20273.7, 19838.7, 16.02, 
188, Thermax, 500411, THERMAX, INE152A01029, INDUSTRIAL MANUFACTURING, Mid Cap, BUY, tp, ?, 1140.1, 13585.01, 6330.36, 339.22, 0.08, 34.44, 10.55, 16.27, 27.87, 24.22, 0.61, 35.59, 45.44, 3.67, 4.51, 2.15, 21.48, 13456.21, 7.68, 1.2, 3.29, 9.71, 0.00, 5.00, 0, 3014.29, 2991.77, 9.44, 
470, Thyrocare Tech., 539871, THYROCARE, INE594H01019, HEALTHCARE SERVICES, Small Cap, BUY, tp, ?, 506.15, 2672.4, 381.59, 99.95, 0.00, 222.9, 19.15, 31.14, 93.98, 110.89, 3.95, 26.74, 48.53, 1.81, 5.86, 7.00, 15.95, 2663.35, 40.08, 2.08, 19.81, 14.79, 0.00, 7.00, 1, 455.78, 402.98, 18.51, 
29, Titan Company, 500114, TITAN, INE280A01028, CONSUMER GOODS, Large Cap, BUY, tp, ?, 1280.6, 113689.9, 20478.58, 1431.14, 0.39, 27.62, 23.66, 25.02, 31.17, 31.61, 0.39, 79.44, 54.9, 5.75, 18.73, 5.55, 50.37, 115016.4, 10.15, 3.06, 12.6, 13.81, 0.00, 6.00, 1, 6070.15, 5981.37, 17.1, 
407, Triveni Turbine, 533655, TRITURBINE, INE152M01016, -, Small Cap, BUY, tp, ?, 104.5, 3378.54, 881.86, 111.92, 0.00, 80.7, 25.8, 39.11, 22.15, 0.00, 0.00, 30.19, 36.4, 3.86, 7.8, 3.83, 17.89, 3351.43, 18.64, 1.51, 10.15, 7.82, 2.74, 6.00, 1, 433.39, 401.06, 26.01, 
235, TTK Prestige, 517506, TTKPRESTIG, INE690A01010, CONSUMER GOODS, Mid Cap, BUY, tp, ?, 6128.9, 8495.52, 1982.75, 190.88, 0.00, 145.03, 17.66, 24.84, 17.91, 18.22, 0.41, 44.51, 41.9, 3.63, 7.36, 4.28, 26.86, 8432.94, 14.46, 2.13, 10.00, 12.26, 0.00, 8.00, 0, 1155.91, 1142.11, 17.57, 
116, TVS Motor Co., 532343, TVSMOTOR, INE494B01023, AUTOMOBILE, Mid Cap, BUY, tp, ?, 419.6, 19935.2, 18510.09, 665.83, 0.42, 11.44, 23.64, 23.7, 23.25, 24.81, 0.83, 29.94, 34.32, 1.45, 5.96, 1.08, 14.44, 21291.34, 7.93, 0.89, 17.98, 20.71, 0.00, 7.00, 1, 3347.32, 3299.81, 16.37, 
75, United Breweries, 532478, UBL, INE686F01025, CONSUMER GOODS, Large Cap, BUY, tp, ?, 1324.8, 35027.71, 6655.05, 505.4, 0.07, 27.67, 15.44, 21.65, 12.81, 11.75, 0.19, 69.31, 82.69, 3.46, 11.01, 5.26, 32.41, 35194.08, 16.02, 1.51, 8.85, 20.06, 18.2, 8.00, 0, 3181.89, 3155.45, 12.86, 
239, V-Guard Inds., 532953, VGUARD, INE951I01027, INDUSTRIAL MANUFACTURING, Mid Cap, BUY, tp, ?, 220.75, 9435.97, 2630.93, 183.57, 0.01, 116.45, 21.45, 28.82, 21.19, 20.63, 0.36, 51.4, 44.1, 2.74, 10.49, 3.59, 35.25, 9361.34, 9.28, 2.25, 11.26, 18.77, 0.00, 7.00, 1, 899.68, 856.97, 21.28, 
247, Vinati Organics, 524200, VINATIORGA, INE410B01029, CHEMICALS, Mid Cap, BUY, tp, ?, 2192.55, 11267.74, 1139.14, 300.6, 0.00, 428.03, 24.95, 36.41, 14.51, 12.74, 0.32, 37.48, 24.41, 1.37, 10.72, 9.89, 23.41, 11267.62, 38.37, 2.54, 9.74, 27.41, 0.00, 8.00, 1, 1051.28, 1041.00, 23.68, 
292, V I P Inds., 507880, VIPIND, INE054A01027, CONSUMER GOODS, Small Cap, BUY, tp, ?, 454.25, 6419.34, 1831.03, 117.00, 0.15, 34.18, 26.33, 38.29, 34.79, 31.13, 0.7, 44.04, 33.51, 1.72, 11.04, 3.51, 24.69, 6491.26, 13.85, 2.34, 13.63, 25.64, 0.00, 3.00, 1, 581.38, 553.12, 24.71, 
137, Voltas, 500575, VOLTAS, INE226A01021, CONSTRUCTION, Mid Cap, BUY, tp, ?, 674.65, 22323.14, 7629.98, 489.17, 0.08, 21.99, 15.05, 20.18, 23.85, 26.05, 0.59, 42.52, 29.28, 2.43, 5.43, 2.93, 28.34, 22316.68, 7.68, 1.5, 6.23, 17.51, 0.00, 4.00, 0, 4109.99, 4076.91, 13.94, 
144, Whirlpool India, 500238, WHIRLPOOL, INE716A01013, CONSUMER GOODS, Mid Cap, BUY, tp, ?, 1955.4, 24808.16, 5722.39, 434.11, 0.00, 51.2, 21.65, 33.55, 14.1, 15.59, 0.26, 57.15, 42.85, 2.11, 11.58, 4.34, 29.74, 23747.16, 11.87, 1.72, 14.02, 27.09, 0.00, 6.00, 1, 2142.67, 2015.8, 20.02, 
322, Zensar Tech., 504067, ZENSARTECH, INE520A01027, -, Small Cap, BUY, tp, ?, 215.00, 4842.7, 4132.69, 305.93, 0.15, 10.05, 16.36, 23.36, 21.8, 20.11, 1.3, 15.83, 13.98, 3.21, 2.49, 1.17, 8.13, 4817.18, 12.31, 2.51, 11.18, 4.93, 0.00, 5.00, 0, 1942.36, 1897.32, 14.57, 
